n	d	Condition	count
35	2	107307A_SLAM_0h_no4sU	110
35	2	107309A_SLAM_1h	1346
35	2	107311A_SLAM_2h	8277
35	2	107313A_SLAM_4h	15467
35	2	107315A_SLAM_8h	26238
35	2	107337B_SLAM_0h_no4sU	120
35	2	107339B_SLAM_1h	2380
35	2	107341B_SLAM_2h	9838
35	2	107343B_SLAM_4h	29845
35	2	107345B_SLAM_8h	37061
101	4	107313A_SLAM_4h	1
101	4	107345B_SLAM_8h	1
35	3	107307A_SLAM_0h_no4sU	9
35	3	107309A_SLAM_1h	174
35	3	107311A_SLAM_2h	1819
35	3	107313A_SLAM_4h	4237
35	3	107315A_SLAM_8h	7973
35	3	107337B_SLAM_0h_no4sU	8
35	3	107339B_SLAM_1h	499
35	3	107341B_SLAM_2h	3039
35	3	107343B_SLAM_4h	10947
35	3	107345B_SLAM_8h	13765
101	5	107315A_SLAM_8h	1
35	4	107307A_SLAM_0h_no4sU	4
35	4	107309A_SLAM_1h	23
35	4	107311A_SLAM_2h	375
35	4	107313A_SLAM_4h	983
35	4	107315A_SLAM_8h	1988
35	4	107337B_SLAM_0h_no4sU	1
35	4	107339B_SLAM_1h	104
35	4	107341B_SLAM_2h	800
35	4	107343B_SLAM_4h	3532
35	4	107345B_SLAM_8h	4367
35	5	107309A_SLAM_1h	4
35	5	107311A_SLAM_2h	68
35	5	107313A_SLAM_4h	220
35	5	107315A_SLAM_8h	506
35	5	107339B_SLAM_1h	23
35	5	107341B_SLAM_2h	232
35	5	107343B_SLAM_4h	1041
35	5	107345B_SLAM_8h	1182
35	6	107311A_SLAM_2h	10
35	6	107313A_SLAM_4h	30
35	6	107315A_SLAM_8h	108
35	6	107339B_SLAM_1h	6
35	6	107341B_SLAM_2h	59
35	6	107343B_SLAM_4h	295
35	6	107345B_SLAM_8h	358
35	7	107311A_SLAM_2h	1
35	7	107313A_SLAM_4h	11
35	7	107315A_SLAM_8h	15
35	7	107341B_SLAM_2h	11
35	7	107343B_SLAM_4h	87
35	7	107345B_SLAM_8h	76
35	8	107311A_SLAM_2h	1
35	8	107313A_SLAM_4h	3
35	8	107315A_SLAM_8h	9
35	8	107341B_SLAM_2h	5
35	8	107343B_SLAM_4h	13
35	8	107345B_SLAM_8h	22
35	9	107313A_SLAM_4h	1
35	9	107315A_SLAM_8h	1
35	9	107343B_SLAM_4h	6
35	9	107345B_SLAM_8h	4
102	0	107307A_SLAM_0h_no4sU	9
102	0	107309A_SLAM_1h	6
102	0	107311A_SLAM_2h	3
102	0	107315A_SLAM_8h	2
102	0	107337B_SLAM_0h_no4sU	8
102	0	107339B_SLAM_1h	4
102	0	107341B_SLAM_2h	4
102	0	107343B_SLAM_4h	1
102	0	107345B_SLAM_8h	1
102	1	107307A_SLAM_0h_no4sU	1
102	1	107309A_SLAM_1h	1
102	1	107313A_SLAM_4h	1
102	1	107315A_SLAM_8h	1
102	1	107339B_SLAM_1h	1
102	1	107341B_SLAM_2h	1
36	0	107307A_SLAM_0h_no4sU	282314
36	0	107309A_SLAM_1h	204538
36	0	107311A_SLAM_2h	234809
36	0	107313A_SLAM_4h	162795
36	0	107315A_SLAM_8h	129649
36	0	107337B_SLAM_0h_no4sU	343461
36	0	107339B_SLAM_1h	279616
36	0	107341B_SLAM_2h	229025
36	0	107343B_SLAM_4h	221449
36	0	107345B_SLAM_8h	145925
102	2	107311A_SLAM_2h	2
102	2	107313A_SLAM_4h	1
102	2	107339B_SLAM_1h	2
102	2	107341B_SLAM_2h	1
102	2	107343B_SLAM_4h	1
36	1	107307A_SLAM_0h_no4sU	6594
36	1	107309A_SLAM_1h	11214
36	1	107311A_SLAM_2h	32577
36	1	107313A_SLAM_4h	44167
36	1	107315A_SLAM_8h	62148
36	1	107337B_SLAM_0h_no4sU	8305
36	1	107339B_SLAM_1h	15704
36	1	107341B_SLAM_2h	29797
36	1	107343B_SLAM_4h	66320
36	1	107345B_SLAM_8h	76566
102	3	107339B_SLAM_1h	1
102	3	107343B_SLAM_4h	1
36	2	107307A_SLAM_0h_no4sU	107
36	2	107309A_SLAM_1h	1317
36	2	107311A_SLAM_2h	8443
36	2	107313A_SLAM_4h	15458
36	2	107315A_SLAM_8h	26013
36	2	107337B_SLAM_0h_no4sU	109
36	2	107339B_SLAM_1h	2544
36	2	107341B_SLAM_2h	9748
36	2	107343B_SLAM_4h	29269
36	2	107345B_SLAM_8h	37121
102	4	107343B_SLAM_4h	1
102	4	107345B_SLAM_8h	1
36	3	107307A_SLAM_0h_no4sU	6
36	3	107309A_SLAM_1h	210
36	3	107311A_SLAM_2h	1908
36	3	107313A_SLAM_4h	4408
36	3	107315A_SLAM_8h	8261
36	3	107337B_SLAM_0h_no4sU	3
36	3	107339B_SLAM_1h	519
36	3	107341B_SLAM_2h	3140
36	3	107343B_SLAM_4h	11473
36	3	107345B_SLAM_8h	14363
102	5	107315A_SLAM_8h	1
36	4	107307A_SLAM_0h_no4sU	1
36	4	107309A_SLAM_1h	24
36	4	107311A_SLAM_2h	366
36	4	107313A_SLAM_4h	1073
36	4	107315A_SLAM_8h	2326
36	4	107339B_SLAM_1h	107
36	4	107341B_SLAM_2h	942
36	4	107343B_SLAM_4h	3800
36	4	107345B_SLAM_8h	4706
36	5	107309A_SLAM_1h	7
36	5	107311A_SLAM_2h	67
36	5	107313A_SLAM_4h	230
36	5	107315A_SLAM_8h	530
36	5	107339B_SLAM_1h	23
36	5	107341B_SLAM_2h	259
36	5	107343B_SLAM_4h	1144
36	5	107345B_SLAM_8h	1370
36	6	107309A_SLAM_1h	1
36	6	107311A_SLAM_2h	11
36	6	107313A_SLAM_4h	45
36	6	107315A_SLAM_8h	107
36	6	107339B_SLAM_1h	2
36	6	107341B_SLAM_2h	70
36	6	107343B_SLAM_4h	317
36	6	107345B_SLAM_8h	367
36	7	107311A_SLAM_2h	1
36	7	107313A_SLAM_4h	9
36	7	107315A_SLAM_8h	30
36	7	107339B_SLAM_1h	1
36	7	107341B_SLAM_2h	11
