n	d	Condition	count
2	1	107307A_SLAM_0h_no4sU	394
2	1	107309A_SLAM_1h	866
2	1	107311A_SLAM_2h	3289
2	1	107313A_SLAM_4h	5738
2	1	107315A_SLAM_8h	9285
2	1	107337B_SLAM_0h_no4sU	460
2	1	107339B_SLAM_1h	1125
2	1	107341B_SLAM_2h	3401
2	1	107343B_SLAM_4h	9900
2	1	107345B_SLAM_8h	12269
35	2	107307A_SLAM_0h_no4sU	28
35	2	107309A_SLAM_1h	344
35	2	107311A_SLAM_2h	1275
35	2	107313A_SLAM_4h	2613
35	2	107315A_SLAM_8h	3430
35	2	107337B_SLAM_0h_no4sU	8
35	2	107339B_SLAM_1h	462
35	2	107341B_SLAM_2h	1772
35	2	107343B_SLAM_4h	4131
35	2	107345B_SLAM_8h	4349
35	3	107307A_SLAM_0h_no4sU	2
35	3	107309A_SLAM_1h	34
35	3	107311A_SLAM_2h	275
35	3	107313A_SLAM_4h	562
35	3	107315A_SLAM_8h	855
35	3	107339B_SLAM_1h	77
35	3	107341B_SLAM_2h	474
35	3	107343B_SLAM_4h	1319
35	3	107345B_SLAM_8h	1443
2	2	107307A_SLAM_0h_no4sU	3
2	2	107309A_SLAM_1h	4
2	2	107311A_SLAM_2h	13
2	2	107313A_SLAM_4h	44
2	2	107315A_SLAM_8h	58
2	2	107337B_SLAM_0h_no4sU	2
2	2	107339B_SLAM_1h	4
2	2	107341B_SLAM_2h	29
2	2	107343B_SLAM_4h	106
2	2	107345B_SLAM_8h	117
35	4	107309A_SLAM_1h	7
35	4	107311A_SLAM_2h	38
35	4	107313A_SLAM_4h	92
35	4	107315A_SLAM_8h	204
35	4	107339B_SLAM_1h	12
35	4	107341B_SLAM_2h	114
35	4	107343B_SLAM_4h	355
35	4	107345B_SLAM_8h	347
35	5	107311A_SLAM_2h	1
35	5	107313A_SLAM_4h	4
35	5	107315A_SLAM_8h	9
35	5	107339B_SLAM_1h	2
35	5	107341B_SLAM_2h	4
35	5	107343B_SLAM_4h	20
35	5	107345B_SLAM_8h	21
52	0	107307A_SLAM_0h_no4sU	254
52	0	107309A_SLAM_1h	202
52	0	107311A_SLAM_2h	155
52	0	107313A_SLAM_4h	110
52	0	107315A_SLAM_8h	73
52	0	107337B_SLAM_0h_no4sU	158
52	0	107339B_SLAM_1h	235
52	0	107341B_SLAM_2h	149
52	0	107343B_SLAM_4h	113
52	0	107345B_SLAM_8h	75
19	0	107307A_SLAM_0h_no4sU	486576
19	0	107309A_SLAM_1h	409114
19	0	107311A_SLAM_2h	420945
19	0	107313A_SLAM_4h	364989
19	0	107315A_SLAM_8h	289513
19	0	107337B_SLAM_0h_no4sU	471346
19	0	107339B_SLAM_1h	405320
19	0	107341B_SLAM_2h	436085
19	0	107343B_SLAM_4h	404425
19	0	107345B_SLAM_8h	311866
52	1	107307A_SLAM_0h_no4sU	6
52	1	107309A_SLAM_1h	17
52	1	107311A_SLAM_2h	43
52	1	107313A_SLAM_4h	44
52	1	107315A_SLAM_8h	67
52	1	107337B_SLAM_0h_no4sU	7
52	1	107339B_SLAM_1h	32
52	1	107341B_SLAM_2h	45
52	1	107343B_SLAM_4h	65
52	1	107345B_SLAM_8h	48
19	1	107307A_SLAM_0h_no4sU	5478
19	1	107309A_SLAM_1h	13017
19	1	107311A_SLAM_2h	39609
19	1	107313A_SLAM_4h	67494
19	1	107315A_SLAM_8h	89053
19	1	107337B_SLAM_0h_no4sU	5440
19	1	107339B_SLAM_1h	14477
19	1	107341B_SLAM_2h	41985
19	1	107343B_SLAM_4h	90321
19	1	107345B_SLAM_8h	108935
52	2	107309A_SLAM_1h	4
52	2	107311A_SLAM_2h	12
52	2	107313A_SLAM_4h	19
52	2	107315A_SLAM_8h	20
52	2	107339B_SLAM_1h	5
52	2	107341B_SLAM_2h	14
52	2	107343B_SLAM_4h	29
52	2	107345B_SLAM_8h	25
19	2	107307A_SLAM_0h_no4sU	33
19	2	107309A_SLAM_1h	802
19	2	107311A_SLAM_2h	5243
19	2	107313A_SLAM_4h	11834
19	2	107315A_SLAM_8h	18890
19	2	107337B_SLAM_0h_no4sU	35
19	2	107339B_SLAM_1h	1425
19	2	107341B_SLAM_2h	7861
19	2	107343B_SLAM_4h	22770
19	2	107345B_SLAM_8h	28865
52	3	107311A_SLAM_2h	2
52	3	107313A_SLAM_4h	8
52	3	107315A_SLAM_8h	7
52	3	107339B_SLAM_1h	1
52	3	107341B_SLAM_2h	6
52	3	107343B_SLAM_4h	6
52	3	107345B_SLAM_8h	12
19	3	107307A_SLAM_0h_no4sU	1
19	3	107309A_SLAM_1h	59
19	3	107311A_SLAM_2h	587
19	3	107313A_SLAM_4h	1565
19	3	107315A_SLAM_8h	2889
19	3	107339B_SLAM_1h	158
19	3	107341B_SLAM_2h	1268
19	3	107343B_SLAM_4h	4515
19	3	107345B_SLAM_8h	5658
52	4	107313A_SLAM_4h	1
52	4	107315A_SLAM_8h	4
52	4	107341B_SLAM_2h	1
52	4	107343B_SLAM_4h	4
52	4	107345B_SLAM_8h	1
19	4	107309A_SLAM_1h	8
19	4	107311A_SLAM_2h	53
19	4	107313A_SLAM_4h	136
19	4	107315A_SLAM_8h	297
19	4	107339B_SLAM_1h	10
19	4	107341B_SLAM_2h	166
19	4	107343B_SLAM_4h	605
19	4	107345B_SLAM_8h	777
52	5	107343B_SLAM_4h	1
19	5	107311A_SLAM_2h	0
19	5	107313A_SLAM_4h	6
19	5	107315A_SLAM_8h	3
19	5	107341B_SLAM_2h	7
19	5	107343B_SLAM_4h	19
19	5	107345B_SLAM_8h	24
69	0	107307A_SLAM_0h_no4sU	1
69	0	107339B_SLAM_1h	1
36	0	107307A_SLAM_0h_no4sU	36990
36	0	107309A_SLAM_1h	31006
36	0	107311A_SLAM_2h	26733
36	0	107313A_SLAM_4h	20105
36	0	107315A_SLAM_8h	13505
36	0	107337B_SLAM_0h_no4sU	27975
36	0	107339B_SLAM_1h	28874
36	0	107341B_SLAM_2h	27087
36	0	107343B_SLAM_4h	20650
36	0	107345B_SLAM_8h	12985
3	0	107307A_SLAM_0h_no4sU	458977
3	0	107309A_SLAM_1h	365305
3	0	107311A_SLAM_2h	445149
3	0	107313A_SLAM_4h	394051
3	0	107315A_SLAM_8h	382348
3	0	107337B_SLAM_0h_no4sU	523525
3	0	107339B_SLAM_1h	442085
3	0	107341B_SLAM_2h	428871
3	0	107343B_SLAM_4h	522896
3	0	107345B_SLAM_8h	438805
36	1	107307A_SLAM_0h_no4sU	614
36	1	107309A_SLAM_1h	2038
36	1	107311A_SLAM_2h	4460
36	1	107313A_SLAM_4h	6756
36	1	107315A_SLAM_8h	7816
36	1	107337B_SLAM_0h_no4sU	489
36	1	107339B_SLAM_1h	1981
36	1	107341B_SLAM_2h	4257
36	1	107343B_SLAM_4h	7840
36	1	107345B_SLAM_8h	7684
3	1	107307A_SLAM_0h_no4sU	700
3	1	107309A_SLAM_1h	1561
3	1	107311A_SLAM_2h	5854
3	1	107313A_SLAM_4h	10302
3	1	107315A_SLAM_8h	16008
3	1	107337B_SLAM_0h_no4sU	831
3	1	107339B_SLAM_1h	2125
3	1	107341B_SLAM_2h	6134
3	1	107343B_SLAM_4h	17934
3	1	107345B_SLAM_8h	21932
36	2	107307A_SLAM_0h_no4sU	6
36	2	107309A_SLAM_1h	276
36	2	107311A_SLAM_2h	1134
36	2	107313A_SLAM_4h	2084
36	2	107315A_SLAM_8h	2902
36	2	107337B_SLAM_0h_no4sU	6
36	2	107339B_SLAM_1h	362
36	2	107341B_SLAM_2h	1352
36	2	107343B_SLAM_4h	3322
36	2	107345B_SLAM_8h	3452
36	3	107307A_SLAM_0h_no4sU	2
36	3	107309A_SLAM_1h	37
36	3	107311A_SLAM_2h	218
36	3	107313A_SLAM_4h	508
36	3	107315A_SLAM_8h	773
36	3	107339B_SLAM_1h	63
36	3	107341B_SLAM_2h	381
36	3	107343B_SLAM_4h	1183
36	3	107345B_SLAM_8h	1197
3	2	107307A_SLAM_0h_no4sU	1
3	2	107309A_SLAM_1h	3
3	2	107311A_SLAM_2h	47
3	2	107313A_SLAM_4h	139
3	2	107315A_SLAM_8h	243
3	2	107337B_SLAM_0h_no4sU	1
3	2	107339B_SLAM_1h	13
3	2	107341B_SLAM_2h	99
3	2	107343B_SLAM_4h	380
3	2	107345B_SLAM_8h	493
36	4	107309A_SLAM_1h	4
36	4	107311A_SLAM_2h	39
36	4	107313A_SLAM_4h	98
36	4	107315A_SLAM_8h	169
36	4	107339B_SLAM_1h	9
36	4	107341B_SLAM_2h	99
36	4	107343B_SLAM_4h	345
36	4	107345B_SLAM_8h	301
3	3	107313A_SLAM_4h	1
3	3	107315A_SLAM_8h	2
3	3	107343B_SLAM_4h	4
3	3	107345B_SLAM_8h	2
36	5	107311A_SLAM_2h	2
36	5	107313A_SLAM_4h	6
36	5	107315A_SLAM_8h	7
36	5	107339B_SLAM_1h	1
36	5	107341B_SLAM_2h	6
36	5	107343B_SLAM_4h	20
36	5	107345B_SLAM_8h	20
53	0	107307A_SLAM_0h_no4sU	212
53	0	107309A_SLAM_1h	133
53	0	107311A_SLAM_2h	126
53	0	107313A_SLAM_4h	73
53	0	107315A_SLAM_8h	56
53	0	107337B_SLAM_0h_no4sU	140
53	0	107339B_SLAM_1h	185
53	0	107341B_SLAM_2h	94
53	0	107343B_SLAM_4h	91
53	0	107345B_SLAM_8h	44
20	0	107307A_SLAM_0h_no4sU	447650
20	0	107309A_SLAM_1h	379723
20	0	107311A_SLAM_2h	384038
20	0	107313A_SLAM_4h	332608
20	0	107315A_SLAM_8h	260421
20	0	107337B_SLAM_0h_no4sU	431757
20	0	107339B_SLAM_1h	372114
20	0	107341B_SLAM_2h	399289
20	0	107343B_SLAM_4h	364263
20	0	107345B_SLAM_8h	278042
53	1	107307A_SLAM_0h_no4sU	7
53	1	107309A_SLAM_1h	7
53	1	107311A_SLAM_2h	30
53	1	107313A_SLAM_4h	43
53	1	107315A_SLAM_8h	44
53	1	107337B_SLAM_0h_no4sU	3
53	1	107339B_SLAM_1h	19
53	1	107341B_SLAM_2h	33
53	1	107343B_SLAM_4h	44
53	1	107345B_SLAM_8h	37
20	1	107307A_SLAM_0h_no4sU	4998
20	1	107309A_SLAM_1h	13222
20	1	107311A_SLAM_2h	37820
20	1	107313A_SLAM_4h	63831
20	1	107315A_SLAM_8h	84566
20	1	107337B_SLAM_0h_no4sU	4978
20	1	107339B_SLAM_1h	13759
20	1	107341B_SLAM_2h	39846
20	1	107343B_SLAM_4h	84793
20	1	107345B_SLAM_8h	102442
53	2	107309A_SLAM_1h	2
53	2	107311A_SLAM_2h	15
53	2	107313A_SLAM_4h	11
53	2	107315A_SLAM_8h	15
53	2	107337B_SLAM_0h_no4sU	1
53	2	107339B_SLAM_1h	7
53	2	107341B_SLAM_2h	14
53	2	107343B_SLAM_4h	28
53	2	107345B_SLAM_8h	14
20	2	107307A_SLAM_0h_no4sU	43
20	2	107309A_SLAM_1h	895
20	2	107311A_SLAM_2h	5357
20	2	107313A_SLAM_4h	12109
20	2	107315A_SLAM_8h	18782
20	2	107337B_SLAM_0h_no4sU	32
20	2	107339B_SLAM_1h	1506
20	2	107341B_SLAM_2h	7937
20	2	107343B_SLAM_4h	22200
20	2	107345B_SLAM_8h	28481
53	3	107309A_SLAM_1h	1
53	3	107311A_SLAM_2h	3
53	3	107313A_SLAM_4h	2
53	3	107315A_SLAM_8h	4
53	3	107339B_SLAM_1h	2
53	3	107341B_SLAM_2h	1
53	3	107343B_SLAM_4h	9
53	3	107345B_SLAM_8h	9
20	3	107309A_SLAM_1h	74
20	3	107311A_SLAM_2h	627
20	3	107313A_SLAM_4h	1708
20	3	107315A_SLAM_8h	3001
20	3	107337B_SLAM_0h_no4sU	1
20	3	107339B_SLAM_1h	157
20	3	107341B_SLAM_2h	1415
20	3	107343B_SLAM_4h	4771
20	3	107345B_SLAM_8h	5841
53	4	107313A_SLAM_4h	1
53	4	107315A_SLAM_8h	4
53	4	107341B_SLAM_2h	4
53	4	107343B_SLAM_4h	6
53	4	107345B_SLAM_8h	3
20	4	107309A_SLAM_1h	5
20	4	107311A_SLAM_2h	54
20	4	107313A_SLAM_4h	174
20	4	107315A_SLAM_8h	345
20	4	107339B_SLAM_1h	16
20	4	107341B_SLAM_2h	194
20	4	107343B_SLAM_4h	679
20	4	107345B_SLAM_8h	857
53	5	107345B_SLAM_8h	1
20	5	107311A_SLAM_2h	1
20	5	107313A_SLAM_4h	4
20	5	107315A_SLAM_8h	5
20	5	107339B_SLAM_1h	1
20	5	107341B_SLAM_2h	5
20	5	107343B_SLAM_4h	24
20	5	107345B_SLAM_8h	16
70	0	107341B_SLAM_2h	1
37	0	107307A_SLAM_0h_no4sU	29353
37	0	107309A_SLAM_1h	24834
37	0	107311A_SLAM_2h	21341
37	0	107313A_SLAM_4h	15723
37	0	107315A_SLAM_8h	10505
37	0	107337B_SLAM_0h_no4sU	21183
37	0	107339B_SLAM_1h	22393
37	0	107341B_SLAM_2h	21453
37	0	107343B_SLAM_4h	16215
37	0	107345B_SLAM_8h	9835
4	0	107307A_SLAM_0h_no4sU	489106
4	0	107309A_SLAM_1h	389584
4	0	107311A_SLAM_2h	470360
4	0	107313A_SLAM_4h	417811
4	0	107315A_SLAM_8h	401605
4	0	107337B_SLAM_0h_no4sU	552298
4	0	107339B_SLAM_1h	467102
4	0	107341B_SLAM_2h	455046
4	0	107343B_SLAM_4h	548452
4	0	107345B_SLAM_8h	458115
37	1	107307A_SLAM_0h_no4sU	491
37	1	107309A_SLAM_1h	1661
37	1	107311A_SLAM_2h	3561
37	1	107313A_SLAM_4h	5320
37	1	107315A_SLAM_8h	5998
37	1	107337B_SLAM_0h_no4sU	351
37	1	107339B_SLAM_1h	1592
37	1	107341B_SLAM_2h	3457
37	1	107343B_SLAM_4h	6115
37	1	107345B_SLAM_8h	6002
70	2	107339B_SLAM_1h	1
4	1	107307A_SLAM_0h_no4sU	1083
4	1	107309A_SLAM_1h	2267
4	1	107311A_SLAM_2h	8917
4	1	107313A_SLAM_4h	15453
4	1	107315A_SLAM_8h	24180
4	1	107337B_SLAM_0h_no4sU	1288
4	1	107339B_SLAM_1h	3135
4	1	107341B_SLAM_2h	9267
4	1	107343B_SLAM_4h	26520
4	1	107345B_SLAM_8h	32560
37	2	107307A_SLAM_0h_no4sU	12
37	2	107309A_SLAM_1h	228
37	2	107311A_SLAM_2h	897
37	2	107313A_SLAM_4h	1734
37	2	107315A_SLAM_8h	2225
37	2	107337B_SLAM_0h_no4sU	7
37	2	107339B_SLAM_1h	306
37	2	107341B_SLAM_2h	1075
37	2	107343B_SLAM_4h	2608
37	2	107345B_SLAM_8h	2779
37	3	107309A_SLAM_1h	41
37	3	107311A_SLAM_2h	180
37	3	107313A_SLAM_4h	377
37	3	107315A_SLAM_8h	634
37	3	107337B_SLAM_0h_no4sU	1
37	3	107339B_SLAM_1h	50
37	3	107341B_SLAM_2h	317
37	3	107343B_SLAM_4h	910
37	3	107345B_SLAM_8h	854
4	2	107307A_SLAM_0h_no4sU	6
4	2	107309A_SLAM_1h	25
4	2	107311A_SLAM_2h	142
4	2	107313A_SLAM_4h	338
4	2	107315A_SLAM_8h	688
4	2	107337B_SLAM_0h_no4sU	2
4	2	107339B_SLAM_1h	40
4	2	107341B_SLAM_2h	248
4	2	107343B_SLAM_4h	897
4	2	107345B_SLAM_8h	1175
37	4	107309A_SLAM_1h	3
37	4	107311A_SLAM_2h	40
37	4	107313A_SLAM_4h	71
37	4	107315A_SLAM_8h	122
37	4	107339B_SLAM_1h	16
37	4	107341B_SLAM_2h	65
37	4	107343B_SLAM_4h	265
37	4	107345B_SLAM_8h	219
4	3	107309A_SLAM_1h	1
4	3	107313A_SLAM_4h	4
4	3	107315A_SLAM_8h	6
4	3	107341B_SLAM_2h	3
4	3	107343B_SLAM_4h	12
4	3	107345B_SLAM_8h	17
37	5	107311A_SLAM_2h	2
37	5	107313A_SLAM_4h	3
37	5	107315A_SLAM_8h	12
37	5	107339B_SLAM_1h	1
37	5	107341B_SLAM_2h	3
37	5	107343B_SLAM_4h	10
37	5	107345B_SLAM_8h	12
54	0	107307A_SLAM_0h_no4sU	149
54	0	107309A_SLAM_1h	114
54	0	107311A_SLAM_2h	98
54	0	107313A_SLAM_4h	63
54	0	107315A_SLAM_8h	35
54	0	107337B_SLAM_0h_no4sU	95
54	0	107339B_SLAM_1h	125
54	0	107341B_SLAM_2h	94
54	0	107343B_SLAM_4h	79
54	0	107345B_SLAM_8h	42
21	0	107307A_SLAM_0h_no4sU	405285
21	0	107309A_SLAM_1h	345908
21	0	107311A_SLAM_2h	345201
21	0	107313A_SLAM_4h	297032
21	0	107315A_SLAM_8h	230673
21	0	107337B_SLAM_0h_no4sU	390248
21	0	107339B_SLAM_1h	335994
21	0	107341B_SLAM_2h	362107
21	0	107343B_SLAM_4h	324020
21	0	107345B_SLAM_8h	245605
54	1	107307A_SLAM_0h_no4sU	3
54	1	107309A_SLAM_1h	11
54	1	107311A_SLAM_2h	25
54	1	107313A_SLAM_4h	27
54	1	107315A_SLAM_8h	28
54	1	107337B_SLAM_0h_no4sU	1
54	1	107339B_SLAM_1h	9
54	1	107341B_SLAM_2h	19
54	1	107343B_SLAM_4h	28
54	1	107345B_SLAM_8h	28
21	1	107307A_SLAM_0h_no4sU	5008
21	1	107309A_SLAM_1h	12749
21	1	107311A_SLAM_2h	36388
21	1	107313A_SLAM_4h	60294
21	1	107315A_SLAM_8h	79084
21	1	107337B_SLAM_0h_no4sU	4757
21	1	107339B_SLAM_1h	13178
21	1	107341B_SLAM_2h	38069
21	1	107343B_SLAM_4h	79284
21	1	107345B_SLAM_8h	95215
54	2	107307A_SLAM_0h_no4sU	1
54	2	107309A_SLAM_1h	3
54	2	107311A_SLAM_2h	14
54	2	107313A_SLAM_4h	19
54	2	107315A_SLAM_8h	13
54	2	107339B_SLAM_1h	6
54	2	107341B_SLAM_2h	6
54	2	107343B_SLAM_4h	20
54	2	107345B_SLAM_8h	20
21	2	107307A_SLAM_0h_no4sU	31
21	2	107309A_SLAM_1h	960
21	2	107311A_SLAM_2h	5098
21	2	107313A_SLAM_4h	11962
21	2	107315A_SLAM_8h	18366
21	2	107337B_SLAM_0h_no4sU	45
21	2	107339B_SLAM_1h	1415
21	2	107341B_SLAM_2h	8091
21	2	107343B_SLAM_4h	21934
21	2	107345B_SLAM_8h	27768
54	3	107309A_SLAM_1h	1
54	3	107311A_SLAM_2h	1
54	3	107313A_SLAM_4h	7
54	3	107315A_SLAM_8h	13
54	3	107339B_SLAM_1h	1
54	3	107341B_SLAM_2h	1
54	3	107343B_SLAM_4h	12
54	3	107345B_SLAM_8h	3
21	3	107307A_SLAM_0h_no4sU	1
21	3	107309A_SLAM_1h	58
21	3	107311A_SLAM_2h	630
21	3	107313A_SLAM_4h	1851
21	3	107315A_SLAM_8h	3099
21	3	107337B_SLAM_0h_no4sU	1
21	3	107339B_SLAM_1h	170
21	3	107341B_SLAM_2h	1454
21	3	107343B_SLAM_4h	4995
21	3	107345B_SLAM_8h	6064
54	4	107311A_SLAM_2h	1
54	4	107315A_SLAM_8h	1
54	4	107339B_SLAM_1h	1
54	4	107343B_SLAM_4h	1
54	4	107345B_SLAM_8h	2
21	4	107309A_SLAM_1h	2
21	4	107311A_SLAM_2h	60
21	4	107313A_SLAM_4h	182
21	4	107315A_SLAM_8h	378
21	4	107339B_SLAM_1h	19
21	4	107341B_SLAM_2h	233
21	4	107343B_SLAM_4h	824
21	4	107345B_SLAM_8h	918
54	5	107313A_SLAM_4h	1
21	5	107313A_SLAM_4h	2
21	5	107315A_SLAM_8h	7
21	5	107339B_SLAM_1h	1
21	5	107341B_SLAM_2h	3
21	5	107343B_SLAM_4h	22
21	5	107345B_SLAM_8h	31
71	0	107337B_SLAM_0h_no4sU	1
38	0	107307A_SLAM_0h_no4sU	23238
38	0	107309A_SLAM_1h	19408
38	0	107311A_SLAM_2h	16620
38	0	107313A_SLAM_4h	12195
38	0	107315A_SLAM_8h	8105
38	0	107337B_SLAM_0h_no4sU	16337
38	0	107339B_SLAM_1h	17748
38	0	107341B_SLAM_2h	16440
38	0	107343B_SLAM_4h	12660
38	0	107345B_SLAM_8h	7449
5	0	107307A_SLAM_0h_no4sU	518938
5	0	107309A_SLAM_1h	416088
5	0	107311A_SLAM_2h	495586
5	0	107313A_SLAM_4h	440361
5	0	107315A_SLAM_8h	419915
5	0	107337B_SLAM_0h_no4sU	580671
5	0	107339B_SLAM_1h	490448
5	0	107341B_SLAM_2h	481537
5	0	107343B_SLAM_4h	574065
5	0	107345B_SLAM_8h	478149
38	1	107307A_SLAM_0h_no4sU	386
38	1	107309A_SLAM_1h	1332
38	1	107311A_SLAM_2h	2824
38	1	107313A_SLAM_4h	4141
38	1	107315A_SLAM_8h	4649
38	1	107337B_SLAM_0h_no4sU	275
38	1	107339B_SLAM_1h	1227
38	1	107341B_SLAM_2h	2566
38	1	107343B_SLAM_4h	4691
38	1	107345B_SLAM_8h	4576
5	1	107307A_SLAM_0h_no4sU	1526
5	1	107309A_SLAM_1h	3136
5	1	107311A_SLAM_2h	12147
5	1	107313A_SLAM_4h	21586
5	1	107315A_SLAM_8h	32796
5	1	107337B_SLAM_0h_no4sU	1777
5	1	107339B_SLAM_1h	4341
5	1	107341B_SLAM_2h	12927
5	1	107343B_SLAM_4h	35970
5	1	107345B_SLAM_8h	43796
38	2	107307A_SLAM_0h_no4sU	9
38	2	107309A_SLAM_1h	194
38	2	107311A_SLAM_2h	718
38	2	107313A_SLAM_4h	1340
38	2	107315A_SLAM_8h	1763
38	2	107337B_SLAM_0h_no4sU	4
38	2	107339B_SLAM_1h	265
38	2	107341B_SLAM_2h	861
38	2	107343B_SLAM_4h	2083
38	2	107345B_SLAM_8h	2184
5	2	107307A_SLAM_0h_no4sU	6
5	2	107309A_SLAM_1h	29
5	2	107311A_SLAM_2h	251
5	2	107313A_SLAM_4h	663
5	2	107315A_SLAM_8h	1250
5	2	107337B_SLAM_0h_no4sU	5
5	2	107339B_SLAM_1h	84
5	2	107341B_SLAM_2h	519
5	2	107343B_SLAM_4h	1795
5	2	107345B_SLAM_8h	2274
38	3	107307A_SLAM_0h_no4sU	1
38	3	107309A_SLAM_1h	40
38	3	107311A_SLAM_2h	150
38	3	107313A_SLAM_4h	319
38	3	107315A_SLAM_8h	469
38	3	107337B_SLAM_0h_no4sU	1
38	3	107339B_SLAM_1h	46
38	3	107341B_SLAM_2h	280
38	3	107343B_SLAM_4h	718
38	3	107345B_SLAM_8h	680
38	4	107309A_SLAM_1h	6
38	4	107311A_SLAM_2h	26
38	4	107313A_SLAM_4h	68
38	4	107315A_SLAM_8h	101
38	4	107339B_SLAM_1h	7
38	4	107341B_SLAM_2h	58
38	4	107343B_SLAM_4h	210
38	4	107345B_SLAM_8h	186
5	3	107311A_SLAM_2h	5
5	3	107313A_SLAM_4h	5
5	3	107315A_SLAM_8h	18
5	3	107339B_SLAM_1h	3
5	3	107341B_SLAM_2h	14
5	3	107343B_SLAM_4h	55
5	3	107345B_SLAM_8h	47
38	5	107311A_SLAM_2h	1
38	5	107313A_SLAM_4h	8
38	5	107315A_SLAM_8h	7
38	5	107339B_SLAM_1h	1
38	5	107341B_SLAM_2h	1
38	5	107343B_SLAM_4h	19
38	5	107345B_SLAM_8h	16
5	4	107315A_SLAM_8h	2
5	4	107343B_SLAM_4h	1
55	0	107307A_SLAM_0h_no4sU	113
55	0	107309A_SLAM_1h	91
55	0	107311A_SLAM_2h	60
55	0	107313A_SLAM_4h	51
55	0	107315A_SLAM_8h	28
55	0	107337B_SLAM_0h_no4sU	74
55	0	107339B_SLAM_1h	93
55	0	107341B_SLAM_2h	76
55	0	107343B_SLAM_4h	56
55	0	107345B_SLAM_8h	31
22	0	107307A_SLAM_0h_no4sU	361216
22	0	107309A_SLAM_1h	308855
