Condition	conv_old	conv_new	p_new_lower	p_new	p_new_upper	Status
107307A_SLAM_0h_no4sU	0.00057275	1.0000	0.00086820	1.0964e-05	0.56926	Too few
107309A_SLAM_1h	0.00056304	0.017394	0.054245	0.055571	0.056907	Too few
107311A_SLAM_2h	0.00057382	0.018090	0.23882	0.24087	0.24291	Ok
107313A_SLAM_4h	0.00061027	0.021794	0.41615	0.41864	0.42112	Ok
107315A_SLAM_8h	0.00062574	0.024669	0.59444	0.59721	0.59994	Ok
107337B_SLAM_0h_no4sU	0.00051847	1.0000	0.00086820	1.0844e-05	0.56926	Too few
107339B_SLAM_1h	0.00056607	0.019664	0.058726	0.059869	0.061018	Too few
107341B_SLAM_2h	0.00059830	0.027180	0.17618	0.17764	0.17909	Ok
107343B_SLAM_4h	0.00058529	0.031683	0.38080	0.38250	0.38418	Ok
107345B_SLAM_8h	0.00066555	0.030962	0.56492	0.56715	0.56934	Ok
