Category	Genomic	Read	Position	Overlap	Opposite	Coverage	Mismatches
Exonic	A	C	0	1	1	1403069	0
Exonic	A	C	1	1	1	1769975	0
Exonic	A	C	2	1	1	2366284	5611
Exonic	A	C	3	1	1	3864675	4273
Exonic	A	C	4	1	1	4579614	3117
Exonic	A	C	5	1	1	4801966	1222
Exonic	A	C	6	1	1	3795162	775
Exonic	A	C	7	1	1	4027285	1042
Exonic	A	C	8	1	1	4227310	927
Exonic	A	C	9	1	1	6197943	804
Exonic	A	C	10	1	1	4964020	760
Exonic	A	C	11	1	1	4837676	1002
Exonic	A	C	12	1	1	5456489	951
Exonic	A	C	13	1	1	5908348	1050
Exonic	A	C	14	1	1	6111615	1508
Exonic	A	C	15	1	1	6369934	1437
Exonic	A	C	16	1	1	6800994	1054
Exonic	A	C	17	1	1	7066510	1441
Exonic	A	C	18	1	1	7295781	1389
Exonic	A	C	19	1	1	7693363	1309
Exonic	A	C	20	1	1	7906291	1457
Exonic	A	C	21	1	1	8159816	1835
Exonic	A	C	22	1	1	8542904	1681
Exonic	A	C	23	1	1	8738204	2159
Exonic	A	C	24	1	1	9005067	2035
Exonic	A	C	25	1	1	9463404	2437
Exonic	A	C	26	1	1	9625829	2268
Exonic	A	C	27	1	1	9927803	2193
Exonic	A	C	28	1	1	10330618	3045
Exonic	A	C	29	1	1	10549134	2731
Exonic	A	C	30	1	1	10787579	2565
Exonic	A	C	31	1	1	11209205	2859
Exonic	A	C	32	1	1	11374524	3314
Exonic	A	C	33	1	1	11589671	3257
Exonic	A	C	34	1	1	12020128	3310
Exonic	A	C	35	1	1	12200784	3324
Exonic	A	C	36	1	1	12437392	2918
Exonic	A	C	37	1	1	12900911	3726
Exonic	A	C	38	1	1	13060287	3312
Exonic	A	C	39	1	1	13263028	4089
Exonic	A	C	40	1	1	13745350	3517
Exonic	A	C	41	1	1	13861481	3715
Exonic	A	C	42	1	1	14035990	4634
Exonic	A	C	43	1	1	14509863	3692
Exonic	A	C	44	1	1	14592241	3858
Exonic	A	C	45	1	1	14831451	3972
Exonic	A	C	46	1	1	15318505	4621
Exonic	A	C	47	1	1	15352693	3821
Exonic	A	C	48	1	1	15556707	4866
Exonic	A	C	49	1	1	16050375	4885
Exonic	A	C	50	1	1	16065333	5866
Exonic	A	C	51	1	1	16327588	5183
Exonic	A	C	52	1	1	16764832	6107
Exonic	A	C	53	1	1	16811356	4981
Exonic	A	C	54	1	1	16933605	5638
Exonic	A	C	55	1	1	17466319	5569
Exonic	A	C	56	1	1	17426596	5905
Exonic	A	C	57	1	1	17639677	7391
Exonic	A	C	58	1	1	18106802	5665
Exonic	A	C	59	1	1	18129446	7210
Exonic	A	C	60	1	1	18227906	6194
Exonic	A	C	61	1	1	18724424	6136
Exonic	A	C	62	1	1	18740226	7386
Exonic	A	C	63	1	1	18834112	6536
Exonic	A	C	64	1	1	19306958	7019
Exonic	A	C	65	1	1	19243602	8812
Exonic	A	C	66	1	1	19370262	6673
Exonic	A	C	67	1	1	19865491	7138
Exonic	A	C	68	1	1	19855228	7451
Exonic	A	C	69	1	1	19861174	7671
Exonic	A	C	70	1	1	20392964	6488
Exonic	A	C	71	1	1	20344493	8702
Exonic	A	C	72	1	1	20404938	7407
Exonic	A	C	73	1	1	20822545	8012
Exonic	A	C	74	1	1	20759367	7627
Exonic	A	C	75	1	1	20796009	8408
Exonic	A	C	76	1	1	21214683	8144
Exonic	A	C	77	1	1	21107346	7819
Exonic	A	C	78	1	1	21104560	8699
Exonic	A	C	79	1	1	21508044	8690
Exonic	A	C	80	1	1	21395058	8388
Exonic	A	C	81	1	1	21368826	8783
Exonic	A	C	82	1	1	21797330	10050
Exonic	A	C	83	1	1	21660545	10161
Exonic	A	C	84	1	1	21644435	8902
Exonic	A	C	85	1	1	22016685	9562
Exonic	A	C	86	1	1	21809376	9052
Exonic	A	C	87	1	1	21773996	9196
