n	d	Condition	count
35	2	107317A_TLS_0h_no4sU	84
35	2	107319A_TLS_1h	1371
35	2	107321A_TLS_2h	10363
35	2	107323A_TLS_4h	20066
35	2	107325A_TLS_8h	32799
35	2	107347B_TLS_0h_no4sU	106
35	2	107349B_TLS_1h	2159
35	2	107351B_TLS_2h	12047
35	2	107353B_TLS_4h	30339
35	2	107355B_TLS_8h	40858
101	4	107349B_TLS_1h	1
101	4	107353B_TLS_4h	4
101	4	107355B_TLS_8h	1
35	3	107317A_TLS_0h_no4sU	6
35	3	107319A_TLS_1h	207
35	3	107321A_TLS_2h	2224
35	3	107323A_TLS_4h	5478
35	3	107325A_TLS_8h	10099
35	3	107347B_TLS_0h_no4sU	7
35	3	107349B_TLS_1h	421
35	3	107351B_TLS_2h	3580
35	3	107353B_TLS_4h	10530
35	3	107355B_TLS_8h	14299
101	5	107319A_TLS_1h	1
101	5	107323A_TLS_4h	1
101	5	107325A_TLS_8h	1
101	5	107351B_TLS_2h	1
101	5	107353B_TLS_4h	1
35	4	107317A_TLS_0h_no4sU	1
35	4	107319A_TLS_1h	26
35	4	107321A_TLS_2h	394
35	4	107323A_TLS_4h	1252
35	4	107325A_TLS_8h	2476
35	4	107349B_TLS_1h	67
35	4	107351B_TLS_2h	962
35	4	107353B_TLS_4h	3164
35	4	107355B_TLS_8h	4169
101	6	107353B_TLS_4h	2
101	6	107355B_TLS_8h	2
35	5	107319A_TLS_1h	9
35	5	107321A_TLS_2h	79
35	5	107323A_TLS_4h	272
35	5	107325A_TLS_8h	594
35	5	107349B_TLS_1h	16
35	5	107351B_TLS_2h	227
35	5	107353B_TLS_4h	901
35	5	107355B_TLS_8h	1104
35	6	107321A_TLS_2h	7
35	6	107323A_TLS_4h	48
35	6	107325A_TLS_8h	121
35	6	107351B_TLS_2h	55
35	6	107353B_TLS_4h	249
35	6	107355B_TLS_8h	283
35	7	107319A_TLS_1h	1
35	7	107321A_TLS_2h	2
35	7	107323A_TLS_4h	8
35	7	107325A_TLS_8h	31
35	7	107349B_TLS_1h	1
35	7	107351B_TLS_2h	8
35	7	107353B_TLS_4h	62
35	7	107355B_TLS_8h	70
35	8	107321A_TLS_2h	1
35	8	107323A_TLS_4h	5
35	8	107325A_TLS_8h	10
35	8	107351B_TLS_2h	3
35	8	107353B_TLS_4h	17
35	8	107355B_TLS_8h	5
35	9	107325A_TLS_8h	1
35	9	107351B_TLS_2h	2
35	9	107353B_TLS_4h	3
35	9	107355B_TLS_8h	3
102	0	107317A_TLS_0h_no4sU	7
102	0	107319A_TLS_1h	7
102	0	107321A_TLS_2h	9
102	0	107323A_TLS_4h	3
102	0	107325A_TLS_8h	2
102	0	107347B_TLS_0h_no4sU	10
102	0	107349B_TLS_1h	7
102	0	107351B_TLS_2h	3
102	0	107353B_TLS_4h	3
102	0	107355B_TLS_8h	3
102	1	107321A_TLS_2h	1
102	1	107323A_TLS_4h	2
102	1	107325A_TLS_8h	3
102	1	107349B_TLS_1h	1
102	1	107351B_TLS_2h	3
102	1	107353B_TLS_4h	2
102	1	107355B_TLS_8h	2
36	0	107317A_TLS_0h_no4sU	336893
36	0	107319A_TLS_1h	269511
36	0	107321A_TLS_2h	313681
36	0	107323A_TLS_4h	235770
36	0	107325A_TLS_8h	188826
36	0	107347B_TLS_0h_no4sU	339306
36	0	107349B_TLS_1h	282331
36	0	107351B_TLS_2h	319322
36	0	107353B_TLS_4h	246498
36	0	107355B_TLS_8h	188630
102	2	107319A_TLS_1h	1
102	2	107321A_TLS_2h	4
102	2	107323A_TLS_4h	2
102	2	107325A_TLS_8h	1
102	2	107347B_TLS_0h_no4sU	1
102	2	107353B_TLS_4h	1
102	2	107355B_TLS_8h	3
36	1	107317A_TLS_0h_no4sU	6953
36	1	107319A_TLS_1h	13267
36	1	107321A_TLS_2h	42752
36	1	107323A_TLS_4h	61100
36	1	107325A_TLS_8h	84800
36	1	107347B_TLS_0h_no4sU	7210
36	1	107349B_TLS_1h	14444
36	1	107351B_TLS_2h	39368
36	1	107353B_TLS_4h	71172
36	1	107355B_TLS_8h	90546
102	3	107319A_TLS_1h	1
102	3	107321A_TLS_2h	3
102	3	107323A_TLS_4h	3
102	3	107325A_TLS_8h	2
102	3	107349B_TLS_1h	1
102	3	107351B_TLS_2h	1
102	3	107353B_TLS_4h	3
102	3	107355B_TLS_8h	2
36	2	107317A_TLS_0h_no4sU	104
36	2	107319A_TLS_1h	1424
36	2	107321A_TLS_2h	10349
36	2	107323A_TLS_4h	20727
36	2	107325A_TLS_8h	33615
36	2	107347B_TLS_0h_no4sU	106
36	2	107349B_TLS_1h	2277
36	2	107351B_TLS_2h	12346
36	2	107353B_TLS_4h	30611
36	2	107355B_TLS_8h	41969
102	4	107323A_TLS_4h	1
102	4	107325A_TLS_8h	1
102	4	107351B_TLS_2h	1
102	4	107353B_TLS_4h	2
102	4	107355B_TLS_8h	3
36	3	107317A_TLS_0h_no4sU	12
36	3	107319A_TLS_1h	184
36	3	107321A_TLS_2h	2320
36	3	107323A_TLS_4h	5789
36	3	107325A_TLS_8h	10380
36	3	107347B_TLS_0h_no4sU	5
36	3	107349B_TLS_1h	452
36	3	107351B_TLS_2h	3765
36	3	107353B_TLS_4h	11125
36	3	107355B_TLS_8h	14960
102	5	107323A_TLS_4h	1
102	5	107325A_TLS_8h	1
102	5	107349B_TLS_1h	1
102	5	107351B_TLS_2h	1
102	5	107353B_TLS_4h	1
102	5	107355B_TLS_8h	2
36	4	107317A_TLS_0h_no4sU	3
36	4	107319A_TLS_1h	25
36	4	107321A_TLS_2h	481
36	4	107323A_TLS_4h	1396
36	4	107325A_TLS_8h	2693
36	4	107349B_TLS_1h	82
36	4	107351B_TLS_2h	1020
36	4	107353B_TLS_4h	3494
36	4	107355B_TLS_8h	4624
102	6	107323A_TLS_4h	1
102	6	107351B_TLS_2h	1
36	5	107319A_TLS_1h	6
36	5	107321A_TLS_2h	98
36	5	107323A_TLS_4h	328
36	5	107325A_TLS_8h	587
36	5	107347B_TLS_0h_no4sU	1
36	5	107349B_TLS_1h	15
36	5	107351B_TLS_2h	274
36	5	107353B_TLS_4h	1014
36	5	107355B_TLS_8h	1251
36	6	107319A_TLS_1h	2
36	6	107321A_TLS_2h	17
36	6	107323A_TLS_4h	72
36	6	107325A_TLS_8h	146
36	6	107349B_TLS_1h	1
36	6	107351B_TLS_2h	66
36	6	107353B_TLS_4h	248
36	6	107355B_TLS_8h	332
102	8	107325A_TLS_8h	1
102	8	107351B_TLS_2h	1
36	7	107321A_TLS_2h	6
36	7	107323A_TLS_4h	11
36	7	107325A_TLS_8h	31
36	7	107351B_TLS_2h	9
36	7	107353B_TLS_4h	69
36	7	107355B_TLS_8h	75
36	8	107321A_TLS_2h	1
36	8	107323A_TLS_4h	4
36	8	107325A_TLS_8h	6
36	8	107351B_TLS_2h	3
36	8	107353B_TLS_4h	17
36	8	107355B_TLS_8h	19
36	9	107325A_TLS_8h	2
36	9	107353B_TLS_4h	4
36	9	107355B_TLS_8h	3
36	10	107351B_TLS_2h	1
36	10	107353B_TLS_4h	1
103	0	107317A_TLS_0h_no4sU	9
103	0	107319A_TLS_1h	7
103	0	107321A_TLS_2h	8
103	0	107323A_TLS_4h	2
103	0	107325A_TLS_8h	1
103	0	107347B_TLS_0h_no4sU	8
103	0	107349B_TLS_1h	3
103	0	107351B_TLS_2h	2
103	0	107355B_TLS_8h	2
103	1	107317A_TLS_0h_no4sU	1
103	1	107319A_TLS_1h	1
103	1	107321A_TLS_2h	2
103	1	107323A_TLS_4h	4
103	1	107325A_TLS_8h	1
103	1	107351B_TLS_2h	1
103	1	107353B_TLS_4h	3
103	1	107355B_TLS_8h	2
37	0	107317A_TLS_0h_no4sU	327102
37	0	107319A_TLS_1h	262997
37	0	107321A_TLS_2h	305820
37	0	107323A_TLS_4h	229666
37	0	107325A_TLS_8h	181991
37	0	107347B_TLS_0h_no4sU	329535
37	0	107349B_TLS_1h	276103
37	0	107351B_TLS_2h	311211
37	0	107353B_TLS_4h	241034
37	0	107355B_TLS_8h	182626
103	2	107319A_TLS_1h	1
103	2	107321A_TLS_2h	1
103	2	107323A_TLS_4h	2
103	2	107325A_TLS_8h	1
103	2	107349B_TLS_1h	1
103	2	107353B_TLS_4h	3
103	2	107355B_TLS_8h	5
37	1	107317A_TLS_0h_no4sU	6629
37	1	107319A_TLS_1h	13169
37	1	107321A_TLS_2h	42252
37	1	107323A_TLS_4h	60696
37	1	107325A_TLS_8h	83939
37	1	107347B_TLS_0h_no4sU	6662
37	1	107349B_TLS_1h	14488
37	1	107351B_TLS_2h	39182
37	1	107353B_TLS_4h	69562
37	1	107355B_TLS_8h	88775
103	3	107321A_TLS_2h	1
103	3	107323A_TLS_4h	1
103	3	107325A_TLS_8h	3
103	3	107353B_TLS_4h	2
103	3	107355B_TLS_8h	2
37	2	107317A_TLS_0h_no4sU	106
37	2	107319A_TLS_1h	1536
37	2	107321A_TLS_2h	10635
37	2	107323A_TLS_4h	21130
37	2	107325A_TLS_8h	34153
37	2	107347B_TLS_0h_no4sU	104
37	2	107349B_TLS_1h	2322
37	2	107351B_TLS_2h	12610
37	2	107353B_TLS_4h	30615
37	2	107355B_TLS_8h	42357
103	4	107323A_TLS_4h	1
103	4	107325A_TLS_8h	1
103	4	107349B_TLS_1h	1
103	4	107351B_TLS_2h	3
103	4	107353B_TLS_4h	1
37	3	107317A_TLS_0h_no4sU	7
37	3	107319A_TLS_1h	235
37	3	107321A_TLS_2h	2522
37	3	107323A_TLS_4h	6005
37	3	107325A_TLS_8h	10537
37	3	107347B_TLS_0h_no4sU	6
37	3	107349B_TLS_1h	513
37	3	107351B_TLS_2h	3890
37	3	107353B_TLS_4h	11335
37	3	107355B_TLS_8h	15627
103	5	107321A_TLS_2h	2
103	5	107323A_TLS_4h	1
103	5	107325A_TLS_8h	2
103	5	107353B_TLS_4h	1
103	5	107355B_TLS_8h	2
37	4	107317A_TLS_0h_no4sU	1
37	4	107319A_TLS_1h	32
37	4	107321A_TLS_2h	510
37	4	107323A_TLS_4h	1421
37	4	107325A_TLS_8h	2882
37	4	107347B_TLS_0h_no4sU	1
37	4	107349B_TLS_1h	100
37	4	107351B_TLS_2h	1119
37	4	107353B_TLS_4h	3560
37	4	107355B_TLS_8h	5042
103	6	107351B_TLS_2h	1
103	6	107355B_TLS_8h	1
37	5	107319A_TLS_1h	2
37	5	107321A_TLS_2h	90
37	5	107323A_TLS_4h	356
37	5	107325A_TLS_8h	671
37	5	107349B_TLS_1h	15
37	5	107351B_TLS_2h	315
37	5	107353B_TLS_4h	1100
37	5	107355B_TLS_8h	1363
103	7	107355B_TLS_8h	1
37	6	107319A_TLS_1h	3
37	6	107321A_TLS_2h	15
37	6	107323A_TLS_4h	86
37	6	107325A_TLS_8h	147
37	6	107349B_TLS_1h	6
37	6	107351B_TLS_2h	71
37	6	107353B_TLS_4h	289
37	6	107355B_TLS_8h	355
37	7	107319A_TLS_1h	1
37	7	107321A_TLS_2h	7
37	7	107323A_TLS_4h	12
37	7	107325A_TLS_8h	31
37	7	107349B_TLS_1h	2
37	7	107351B_TLS_2h	15
37	7	107353B_TLS_4h	63
37	7	107355B_TLS_8h	87
37	8	107321A_TLS_2h	1
37	8	107323A_TLS_4h	2
37	8	107325A_TLS_8h	3
37	8	107351B_TLS_2h	2
37	8	107353B_TLS_4h	13
37	8	107355B_TLS_8h	18
37	9	107323A_TLS_4h	3
37	9	107353B_TLS_4h	5
37	9	107355B_TLS_8h	5
104	0	107317A_TLS_0h_no4sU	7
104	0	107319A_TLS_1h	4
104	0	107321A_TLS_2h	2
104	0	107323A_TLS_4h	4
104	0	107325A_TLS_8h	1
104	0	107347B_TLS_0h_no4sU	6
104	0	107349B_TLS_1h	4
104	0	107351B_TLS_2h	3
104	0	107353B_TLS_4h	1
104	0	107355B_TLS_8h	3
104	1	107317A_TLS_0h_no4sU	1
104	1	107319A_TLS_1h	2
104	1	107321A_TLS_2h	1
104	1	107323A_TLS_4h	2
104	1	107349B_TLS_1h	1
104	1	107353B_TLS_4h	2
104	1	107355B_TLS_8h	2
38	0	107317A_TLS_0h_no4sU	317541
38	0	107319A_TLS_1h	254841
38	0	107321A_TLS_2h	297365
38	0	107323A_TLS_4h	222553
38	0	107325A_TLS_8h	174371
38	0	107347B_TLS_0h_no4sU	321280
38	0	107349B_TLS_1h	268340
38	0	107351B_TLS_2h	302877
38	0	107353B_TLS_4h	232042
38	0	107355B_TLS_8h	174617
104	2	107317A_TLS_0h_no4sU	1
104	2	107319A_TLS_1h	2
104	2	107321A_TLS_2h	2
104	2	107323A_TLS_4h	5
104	2	107325A_TLS_8h	2
104	2	107351B_TLS_2h	1
104	2	107353B_TLS_4h	5
104	2	107355B_TLS_8h	2
38	1	107317A_TLS_0h_no4sU	6340
38	1	107319A_TLS_1h	12952
38	1	107321A_TLS_2h	41824
38	1	107323A_TLS_4h	59862
38	1	107325A_TLS_8h	82068
38	1	107347B_TLS_0h_no4sU	6579
38	1	107349B_TLS_1h	14066
38	1	107351B_TLS_2h	37909
38	1	107353B_TLS_4h	68397
38	1	107355B_TLS_8h	86999
104	3	107353B_TLS_4h	2
104	3	107355B_TLS_8h	1
38	2	107317A_TLS_0h_no4sU	109
38	2	107319A_TLS_1h	1546
38	2	107321A_TLS_2h	10902
38	2	107323A_TLS_4h	21129
38	2	107325A_TLS_8h	34115
38	2	107347B_TLS_0h_no4sU	96
38	2	107349B_TLS_1h	2468
38	2	107351B_TLS_2h	12634
38	2	107353B_TLS_4h	30351
38	2	107355B_TLS_8h	41381
104	4	107323A_TLS_4h	2
104	4	107351B_TLS_2h	2
104	4	107353B_TLS_4h	2
104	4	107355B_TLS_8h	1
38	3	107317A_TLS_0h_no4sU	7
38	3	107319A_TLS_1h	249
38	3	107321A_TLS_2h	2574
38	3	107323A_TLS_4h	6086
38	3	107325A_TLS_8h	10878
38	3	107347B_TLS_0h_no4sU	5
38	3	107349B_TLS_1h	454
38	3	107351B_TLS_2h	4040
38	3	107353B_TLS_4h	11601
38	3	107355B_TLS_8h	15799
104	5	107353B_TLS_4h	2
38	4	107317A_TLS_0h_no4sU	1
38	4	107319A_TLS_1h	54
38	4	107321A_TLS_2h	566
38	4	107323A_TLS_4h	1589
38	4	107325A_TLS_8h	3039
38	4	107349B_TLS_1h	104
38	4	107351B_TLS_2h	1134
38	4	107353B_TLS_4h	3836
38	4	107355B_TLS_8h	5069
38	5	107319A_TLS_1h	5
38	5	107321A_TLS_2h	106
38	5	107323A_TLS_4h	362
38	5	107325A_TLS_8h	722
38	5	107349B_TLS_1h	18
38	5	107351B_TLS_2h	360
38	5	107353B_TLS_4h	1196
38	5	107355B_TLS_8h	1427
104	7	107353B_TLS_4h	1
38	6	107319A_TLS_1h	1
38	6	107321A_TLS_2h	30
38	6	107323A_TLS_4h	77
38	6	107325A_TLS_8h	171
38	6	107349B_TLS_1h	9
38	6	107351B_TLS_2h	85
38	6	107353B_TLS_4h	303
38	6	107355B_TLS_8h	397
104	8	107355B_TLS_8h	1
38	7	107321A_TLS_2h	6
38	7	107323A_TLS_4h	17
38	7	107325A_TLS_8h	36
38	7	107349B_TLS_1h	2
38	7	107351B_TLS_2h	16
38	7	107353B_TLS_4h	77
38	7	107355B_TLS_8h	98
38	8	107323A_TLS_4h	5
38	8	107325A_TLS_8h	8
38	8	107349B_TLS_1h	1
38	8	107351B_TLS_2h	2
38	8	107353B_TLS_4h	21
38	8	107355B_TLS_8h	29
38	9	107323A_TLS_4h	2
38	9	107325A_TLS_8h	1
38	9	107353B_TLS_4h	9
38	9	107355B_TLS_8h	9
105	0	107317A_TLS_0h_no4sU	5
105	0	107319A_TLS_1h	4
105	0	107321A_TLS_2h	3
105	0	107325A_TLS_8h	2
105	0	107347B_TLS_0h_no4sU	3
105	0	107349B_TLS_1h	5
105	0	107351B_TLS_2h	2
105	0	107353B_TLS_4h	1
105	1	107317A_TLS_0h_no4sU	2
105	1	107319A_TLS_1h	1
105	1	107321A_TLS_2h	5
105	1	107325A_TLS_8h	1
105	1	107347B_TLS_0h_no4sU	1
105	1	107349B_TLS_1h	1
105	1	107351B_TLS_2h	1
105	1	107353B_TLS_4h	5
105	1	107355B_TLS_8h	1
39	0	107317A_TLS_0h_no4sU	304898
39	0	107319A_TLS_1h	245068
39	0	107321A_TLS_2h	287124
39	0	107323A_TLS_4h	211960
39	0	107325A_TLS_8h	165354
39	0	107347B_TLS_0h_no4sU	309463
39	0	107349B_TLS_1h	259416
39	0	107351B_TLS_2h	291146
39	0	107353B_TLS_4h	222817
39	0	107355B_TLS_8h	165989
105	2	107317A_TLS_0h_no4sU	1
105	2	107321A_TLS_2h	1
105	2	107323A_TLS_4h	3
105	2	107351B_TLS_2h	2
105	2	107353B_TLS_4h	1
105	2	107355B_TLS_8h	3
39	1	107317A_TLS_0h_no4sU	5916
39	1	107319A_TLS_1h	12410
39	1	107321A_TLS_2h	40869
39	1	107323A_TLS_4h	57912
39	1	107325A_TLS_8h	78931
39	1	107347B_TLS_0h_no4sU	6134
39	1	107349B_TLS_1h	13744
39	1	107351B_TLS_2h	37116
39	1	107353B_TLS_4h	65817
39	1	107355B_TLS_8h	84010
105	3	107323A_TLS_4h	1
105	3	107325A_TLS_8h	1
105	3	107349B_TLS_1h	1
105	3	107353B_TLS_4h	1
105	3	107355B_TLS_8h	1
39	2	107317A_TLS_0h_no4sU	105
39	2	107319A_TLS_1h	1570
39	2	107321A_TLS_2h	10932
39	2	107323A_TLS_4h	20807
39	2	107325A_TLS_8h	33746
39	2	107347B_TLS_0h_no4sU	106
39	2	107349B_TLS_1h	2322
39	2	107351B_TLS_2h	12672
39	2	107353B_TLS_4h	30682
39	2	107355B_TLS_8h	41333
105	4	107321A_TLS_2h	1
105	4	107351B_TLS_2h	2
39	3	107317A_TLS_0h_no4sU	1
39	3	107319A_TLS_1h	265
39	3	107321A_TLS_2h	2660
39	3	107323A_TLS_4h	6266
39	3	107325A_TLS_8h	11141
39	3	107347B_TLS_0h_no4sU	5
39	3	107349B_TLS_1h	573
39	3	107351B_TLS_2h	4057
39	3	107353B_TLS_4h	11741
39	3	107355B_TLS_8h	16092
105	5	107323A_TLS_4h	1
105	5	107325A_TLS_8h	1
105	5	107355B_TLS_8h	1
39	4	107319A_TLS_1h	38
39	4	107321A_TLS_2h	550
39	4	107323A_TLS_4h	1654
39	4	107325A_TLS_8h	3095
39	4	107349B_TLS_1h	102
39	4	107351B_TLS_2h	1241
39	4	107353B_TLS_4h	4050
39	4	107355B_TLS_8h	5256
105	6	107351B_TLS_2h	1
105	6	107355B_TLS_8h	1
39	5	107319A_TLS_1h	7
39	5	107321A_TLS_2h	120
39	5	107323A_TLS_4h	415
39	5	107325A_TLS_8h	799
39	5	107349B_TLS_1h	22
39	5	107351B_TLS_2h	333
39	5	107353B_TLS_4h	1240
39	5	107355B_TLS_8h	1506
105	7	107355B_TLS_8h	1
39	6	107321A_TLS_2h	29
39	6	107323A_TLS_4h	80
39	6	107325A_TLS_8h	177
