Condition	conv_old	conv_new	p_new_lower	p_new	p_new_upper	Status
107317A_TLS_0h_no4sU	0.00014099	0.023491	0.026765	0.027218	0.027673	Too few
107319A_TLS_1h	0.00014400	0.013507	0.14710	0.14846	0.14981	Ok
107321A_TLS_2h	0.00014549	0.020721	0.31664	0.31812	0.31959	Ok
107323A_TLS_4h	0.00014838	0.025360	0.49998	0.50182	0.50362	Ok
107325A_TLS_8h	0.00014825	0.028165	0.69229	0.69424	0.69614	Ok
107347B_TLS_0h_no4sU	0.00013882	0.027637	0.024832	0.025230	0.025629	Too few
107349B_TLS_1h	0.00014177	0.019528	0.11794	0.11898	0.12003	Ok
107351B_TLS_2h	0.00014091	0.028855	0.24657	0.24771	0.24883	Ok
107353B_TLS_4h	0.00014450	0.033925	0.48297	0.48437	0.48574	Ok
107355B_TLS_8h	0.00015099	0.033727	0.66722	0.66913	0.67100	Ok
