n	d	Condition	count
2	1	107317A_TLS_0h_no4sU	345
2	1	107319A_TLS_1h	805
2	1	107321A_TLS_2h	3421
2	1	107323A_TLS_4h	5671
2	1	107325A_TLS_8h	8963
2	1	107347B_TLS_0h_no4sU	369
2	1	107349B_TLS_1h	974
2	1	107351B_TLS_2h	3608
2	1	107353B_TLS_4h	8387
2	1	107355B_TLS_8h	10446
35	2	107317A_TLS_0h_no4sU	8
35	2	107319A_TLS_1h	254
35	2	107321A_TLS_2h	1216
35	2	107323A_TLS_4h	1925
35	2	107325A_TLS_8h	2753
35	2	107347B_TLS_0h_no4sU	12
35	2	107349B_TLS_1h	363
35	2	107351B_TLS_2h	1267
35	2	107353B_TLS_4h	3394
35	2	107355B_TLS_8h	3084
2	2	107317A_TLS_0h_no4sU	1
2	2	107319A_TLS_1h	4
2	2	107321A_TLS_2h	17
2	2	107323A_TLS_4h	30
2	2	107325A_TLS_8h	67
2	2	107349B_TLS_1h	3
2	2	107351B_TLS_2h	22
2	2	107353B_TLS_4h	76
2	2	107355B_TLS_8h	91
35	3	107319A_TLS_1h	38
35	3	107321A_TLS_2h	230
35	3	107323A_TLS_4h	510
35	3	107325A_TLS_8h	723
35	3	107349B_TLS_1h	75
35	3	107351B_TLS_2h	355
35	3	107353B_TLS_4h	1177
35	3	107355B_TLS_8h	1021
68	4	107323A_TLS_4h	1
35	4	107319A_TLS_1h	2
35	4	107321A_TLS_2h	38
35	4	107323A_TLS_4h	84
35	4	107325A_TLS_8h	172
35	4	107349B_TLS_1h	9
35	4	107351B_TLS_2h	102
35	4	107353B_TLS_4h	318
35	4	107355B_TLS_8h	268
35	5	107323A_TLS_4h	6
35	5	107325A_TLS_8h	9
35	5	107349B_TLS_1h	1
35	5	107351B_TLS_2h	4
35	5	107353B_TLS_4h	15
35	5	107355B_TLS_8h	19
52	0	107317A_TLS_0h_no4sU	225
52	0	107319A_TLS_1h	219
52	0	107321A_TLS_2h	134
52	0	107323A_TLS_4h	103
52	0	107325A_TLS_8h	59
52	0	107347B_TLS_0h_no4sU	217
52	0	107349B_TLS_1h	179
52	0	107351B_TLS_2h	129
52	0	107353B_TLS_4h	102
52	0	107355B_TLS_8h	50
19	0	107317A_TLS_0h_no4sU	399400
19	0	107319A_TLS_1h	353260
19	0	107321A_TLS_2h	351538
19	0	107323A_TLS_4h	255636
19	0	107325A_TLS_8h	244566
19	0	107347B_TLS_0h_no4sU	409644
19	0	107349B_TLS_1h	324828
19	0	107351B_TLS_2h	335479
19	0	107353B_TLS_4h	306642
19	0	107355B_TLS_8h	190694
