Condition	conv_old	conv_new	p_new_lower	p_new	p_new_upper	Status
107317A_TLS_0h_no4sU	0.00045225	1.0000	0.00086820	1.0844e-05	0.56926	Too few
107319A_TLS_1h	0.00047163	0.014934	0.057933	0.059330	0.060739	Too few
107321A_TLS_2h	0.00047396	0.019322	0.21397	0.21579	0.21761	Ok
107323A_TLS_4h	0.00048278	0.022708	0.37888	0.38121	0.38353	Ok
107325A_TLS_8h	0.00047245	0.024999	0.54213	0.54471	0.54725	Ok
107347B_TLS_0h_no4sU	0.00047588	1.0000	0.00086820	1.0844e-05	0.56926	Too few
107349B_TLS_1h	0.00045601	0.016860	0.065650	0.066987	0.068332	Too few
107351B_TLS_2h	0.00044407	0.025484	0.17529	0.17670	0.17811	Ok
107353B_TLS_4h	0.00046180	0.029733	0.37737	0.37922	0.38104	Ok
107355B_TLS_8h	0.00046554	0.029378	0.53215	0.53450	0.53680	Ok
