n	d	Condition	count
35	2	107327A_TUC_0h_no4sU	110
35	2	107329A_TUC_1h	1131
35	2	107331A_TUC_2h	9048
35	2	107333A_TUC_4h	24076
35	2	107335A_TUC_8h	44142
35	2	107357B_TUC_0h_no4sU	77
35	2	107359B_TUC_1h	3043
35	2	107361B_TUC_2h	11240
35	2	107363B_TUC_4h	30017
35	2	107365B_TUC_8h	48973
101	4	107331A_TUC_2h	2
101	4	107333A_TUC_4h	3
101	4	107335A_TUC_8h	1
101	4	107359B_TUC_1h	1
101	4	107363B_TUC_4h	5
101	4	107365B_TUC_8h	5
35	3	107327A_TUC_0h_no4sU	9
35	3	107329A_TUC_1h	127
35	3	107331A_TUC_2h	1974
35	3	107333A_TUC_4h	6518
35	3	107335A_TUC_8h	13740
35	3	107357B_TUC_0h_no4sU	8
35	3	107359B_TUC_1h	642
35	3	107361B_TUC_2h	3522
35	3	107363B_TUC_4h	11124
35	3	107365B_TUC_8h	18628
101	5	107331A_TUC_2h	1
101	5	107335A_TUC_8h	1
101	5	107361B_TUC_2h	1
101	5	107363B_TUC_4h	4
101	5	107365B_TUC_8h	2
35	4	107329A_TUC_1h	10
35	4	107331A_TUC_2h	366
35	4	107333A_TUC_4h	1541
35	4	107335A_TUC_8h	3557
35	4	107357B_TUC_0h_no4sU	2
35	4	107359B_TUC_1h	115
35	4	107361B_TUC_2h	1053
35	4	107363B_TUC_4h	3682
35	4	107365B_TUC_8h	5992
101	6	107335A_TUC_8h	2
101	6	107361B_TUC_2h	1
101	6	107363B_TUC_4h	2
101	6	107365B_TUC_8h	2
35	5	107329A_TUC_1h	1
35	5	107331A_TUC_2h	62
35	5	107333A_TUC_4h	304
35	5	107335A_TUC_8h	809
35	5	107359B_TUC_1h	34
35	5	107361B_TUC_2h	317
35	5	107363B_TUC_4h	1140
35	5	107365B_TUC_8h	1810
101	7	107363B_TUC_4h	1
101	7	107365B_TUC_8h	2
35	6	107331A_TUC_2h	6
35	6	107333A_TUC_4h	63
35	6	107335A_TUC_8h	185
35	6	107359B_TUC_1h	5
35	6	107361B_TUC_2h	76
35	6	107363B_TUC_4h	318
35	6	107365B_TUC_8h	475
101	8	107363B_TUC_4h	2
101	8	107365B_TUC_8h	1
35	7	107331A_TUC_2h	0
35	7	107333A_TUC_4h	12
35	7	107335A_TUC_8h	44
35	7	107359B_TUC_1h	1
35	7	107361B_TUC_2h	16
35	7	107363B_TUC_4h	93
35	7	107365B_TUC_8h	133
101	9	107365B_TUC_8h	1
35	8	107335A_TUC_8h	10
35	8	107361B_TUC_2h	7
35	8	107363B_TUC_4h	21
35	8	107365B_TUC_8h	43
35	9	107335A_TUC_8h	3
35	9	107363B_TUC_4h	13
35	9	107365B_TUC_8h	14
35	10	107363B_TUC_4h	1
102	0	107327A_TUC_0h_no4sU	10
102	0	107329A_TUC_1h	6
102	0	107331A_TUC_2h	7
102	0	107333A_TUC_4h	3
102	0	107335A_TUC_8h	1
102	0	107357B_TUC_0h_no4sU	18
102	0	107359B_TUC_1h	10
102	0	107361B_TUC_2h	4
102	0	107365B_TUC_8h	2
102	1	107327A_TUC_0h_no4sU	2
102	1	107329A_TUC_1h	3
102	1	107331A_TUC_2h	5
102	1	107333A_TUC_4h	4
102	1	107335A_TUC_8h	3
102	1	107357B_TUC_0h_no4sU	1
102	1	107359B_TUC_1h	2
102	1	107361B_TUC_2h	3
102	1	107363B_TUC_4h	1
102	1	107365B_TUC_8h	5
36	0	107327A_TUC_0h_no4sU	353318
36	0	107329A_TUC_1h	276992
36	0	107331A_TUC_2h	285081
36	0	107333A_TUC_4h	285249
36	0	107335A_TUC_8h	231384
36	0	107357B_TUC_0h_no4sU	290818
36	0	107359B_TUC_1h	374140
36	0	107361B_TUC_2h	278892
36	0	107363B_TUC_4h	232889
36	0	107365B_TUC_8h	201212
102	2	107329A_TUC_1h	1
102	2	107331A_TUC_2h	5
102	2	107335A_TUC_8h	1
102	2	107361B_TUC_2h	3
102	2	107363B_TUC_4h	8
102	2	107365B_TUC_8h	3
36	1	107327A_TUC_0h_no4sU	7352
36	1	107329A_TUC_1h	12743
36	1	107331A_TUC_2h	38524
36	1	107333A_TUC_4h	73451
36	1	107335A_TUC_8h	110042
36	1	107357B_TUC_0h_no4sU	6021
36	1	107359B_TUC_1h	19316
36	1	107361B_TUC_2h	34521
36	1	107363B_TUC_4h	66907
36	1	107365B_TUC_8h	102124
102	3	107329A_TUC_1h	1
102	3	107331A_TUC_2h	2
102	3	107333A_TUC_4h	4
102	3	107335A_TUC_8h	2
102	3	107359B_TUC_1h	2
102	3	107361B_TUC_2h	1
102	3	107363B_TUC_4h	3
102	3	107365B_TUC_8h	4
36	2	107327A_TUC_0h_no4sU	80
36	2	107329A_TUC_1h	1306
36	2	107331A_TUC_2h	9423
36	2	107333A_TUC_4h	24645
36	2	107335A_TUC_8h	44092
36	2	107357B_TUC_0h_no4sU	104
36	2	107359B_TUC_1h	3186
36	2	107361B_TUC_2h	11116
36	2	107363B_TUC_4h	29999
36	2	107365B_TUC_8h	49827
102	4	107365B_TUC_8h	2
36	3	107327A_TUC_0h_no4sU	13
36	3	107329A_TUC_1h	142
36	3	107331A_TUC_2h	2056
36	3	107333A_TUC_4h	6852
36	3	107335A_TUC_8h	14021
36	3	107357B_TUC_0h_no4sU	8
36	3	107359B_TUC_1h	668
36	3	107361B_TUC_2h	3635
36	3	107363B_TUC_4h	11604
36	3	107365B_TUC_8h	19071
102	5	107331A_TUC_2h	1
102	5	107335A_TUC_8h	2
102	5	107365B_TUC_8h	1
36	4	107327A_TUC_0h_no4sU	2
36	4	107329A_TUC_1h	13
36	4	107331A_TUC_2h	390
36	4	107333A_TUC_4h	1582
36	4	107335A_TUC_8h	3776
36	4	107357B_TUC_0h_no4sU	2
36	4	107359B_TUC_1h	138
36	4	107361B_TUC_2h	1114
36	4	107363B_TUC_4h	3951
36	4	107365B_TUC_8h	6506
102	6	107335A_TUC_8h	1
102	6	107361B_TUC_2h	2
102	6	107363B_TUC_4h	3
36	5	107329A_TUC_1h	3
36	5	107331A_TUC_2h	67
36	5	107333A_TUC_4h	336
36	5	107335A_TUC_8h	884
36	5	107359B_TUC_1h	28
36	5	107361B_TUC_2h	317
36	5	107363B_TUC_4h	1272
36	5	107365B_TUC_8h	2055
102	7	107333A_TUC_4h	1
102	7	107363B_TUC_4h	1
36	6	107331A_TUC_2h	14
36	6	107333A_TUC_4h	81
36	6	107335A_TUC_8h	229
36	6	107359B_TUC_1h	10
36	6	107361B_TUC_2h	105
36	6	107363B_TUC_4h	377
36	6	107365B_TUC_8h	564
102	8	107361B_TUC_2h	1
102	8	107363B_TUC_4h	1
36	7	107331A_TUC_2h	2
36	7	107333A_TUC_4h	14
36	7	107335A_TUC_8h	46
36	7	107359B_TUC_1h	3
36	7	107361B_TUC_2h	24
36	7	107363B_TUC_4h	114
36	7	107365B_TUC_8h	144
36	8	107333A_TUC_4h	2
36	8	107335A_TUC_8h	10
36	8	107359B_TUC_1h	1
36	8	107361B_TUC_2h	6
36	8	107363B_TUC_4h	28
36	8	107365B_TUC_8h	48
36	9	107333A_TUC_4h	1
36	9	107335A_TUC_8h	4
36	9	107363B_TUC_4h	10
36	9	107365B_TUC_8h	12
103	0	107327A_TUC_0h_no4sU	7
103	0	107329A_TUC_1h	3
103	0	107331A_TUC_2h	2
103	0	107333A_TUC_4h	6
103	0	107335A_TUC_8h	3
103	0	107357B_TUC_0h_no4sU	7
103	0	107359B_TUC_1h	8
103	0	107361B_TUC_2h	7
103	0	107363B_TUC_4h	2
103	1	107329A_TUC_1h	2
103	1	107333A_TUC_4h	2
103	1	107335A_TUC_8h	3
103	1	107359B_TUC_1h	5
103	1	107365B_TUC_8h	3
37	0	107327A_TUC_0h_no4sU	344441
37	0	107329A_TUC_1h	270653
37	0	107331A_TUC_2h	278192
37	0	107333A_TUC_4h	277083
37	0	107335A_TUC_8h	224341
37	0	107357B_TUC_0h_no4sU	285029
37	0	107359B_TUC_1h	366461
37	0	107361B_TUC_2h	272380
37	0	107363B_TUC_4h	226066
37	0	107365B_TUC_8h	193906
103	2	107329A_TUC_1h	1
103	2	107331A_TUC_2h	3
103	2	107333A_TUC_4h	1
103	2	107335A_TUC_8h	1
103	2	107359B_TUC_1h	3
103	2	107361B_TUC_2h	2
103	2	107363B_TUC_4h	4
103	2	107365B_TUC_8h	3
37	1	107327A_TUC_0h_no4sU	6958
37	1	107329A_TUC_1h	12645
37	1	107331A_TUC_2h	38085
37	1	107333A_TUC_4h	72117
37	1	107335A_TUC_8h	108202
37	1	107357B_TUC_0h_no4sU	5690
37	1	107359B_TUC_1h	19097
37	1	107361B_TUC_2h	34366
37	1	107363B_TUC_4h	65602
37	1	107365B_TUC_8h	100566
103	3	107335A_TUC_8h	3
103	3	107361B_TUC_2h	3
103	3	107363B_TUC_4h	1
103	3	107365B_TUC_8h	4
37	2	107327A_TUC_0h_no4sU	95
37	2	107329A_TUC_1h	1187
37	2	107331A_TUC_2h	9503
37	2	107333A_TUC_4h	24924
37	2	107335A_TUC_8h	45303
37	2	107357B_TUC_0h_no4sU	86
37	2	107359B_TUC_1h	3137
37	2	107361B_TUC_2h	11602
37	2	107363B_TUC_4h	30187
37	2	107365B_TUC_8h	49588
103	4	107333A_TUC_4h	1
103	4	107335A_TUC_8h	1
103	4	107361B_TUC_2h	1
103	4	107363B_TUC_4h	1
103	4	107365B_TUC_8h	6
37	3	107327A_TUC_0h_no4sU	4
37	3	107329A_TUC_1h	115
37	3	107331A_TUC_2h	1998
37	3	107333A_TUC_4h	7048
37	3	107335A_TUC_8h	14574
37	3	107357B_TUC_0h_no4sU	6
37	3	107359B_TUC_1h	729
37	3	107361B_TUC_2h	3774
37	3	107363B_TUC_4h	11803
37	3	107365B_TUC_8h	19835
103	5	107333A_TUC_4h	1
103	5	107335A_TUC_8h	1
103	5	107359B_TUC_1h	1
103	5	107365B_TUC_8h	3
37	4	107327A_TUC_0h_no4sU	1
37	4	107329A_TUC_1h	18
37	4	107331A_TUC_2h	422
37	4	107333A_TUC_4h	1751
37	4	107335A_TUC_8h	3870
37	4	107357B_TUC_0h_no4sU	2
37	4	107359B_TUC_1h	152
37	4	107361B_TUC_2h	1141
37	4	107363B_TUC_4h	4214
37	4	107365B_TUC_8h	6708
103	6	107363B_TUC_4h	2
103	6	107365B_TUC_8h	1
37	5	107331A_TUC_2h	80
37	5	107333A_TUC_4h	378
37	5	107335A_TUC_8h	986
37	5	107359B_TUC_1h	26
37	5	107361B_TUC_2h	357
37	5	107363B_TUC_4h	1378
37	5	107365B_TUC_8h	2040
37	6	107329A_TUC_1h	0
37	6	107331A_TUC_2h	16
37	6	107333A_TUC_4h	71
37	6	107335A_TUC_8h	245
37	6	107359B_TUC_1h	12
37	6	107361B_TUC_2h	88
37	6	107363B_TUC_4h	403
37	6	107365B_TUC_8h	593
37	7	107331A_TUC_2h	2
37	7	107333A_TUC_4h	12
37	7	107335A_TUC_8h	55
37	7	107359B_TUC_1h	5
37	7	107361B_TUC_2h	38
37	7	107363B_TUC_4h	118
37	7	107365B_TUC_8h	165
37	8	107331A_TUC_2h	1
37	8	107333A_TUC_4h	4
37	8	107335A_TUC_8h	8
37	8	107361B_TUC_2h	11
37	8	107363B_TUC_4h	33
37	8	107365B_TUC_8h	52
37	9	107333A_TUC_4h	3
37	9	107335A_TUC_8h	5
37	9	107361B_TUC_2h	2
37	9	107363B_TUC_4h	15
37	9	107365B_TUC_8h	12
37	10	107365B_TUC_8h	2
104	0	107327A_TUC_0h_no4sU	3
104	0	107329A_TUC_1h	5
104	0	107331A_TUC_2h	5
104	0	107333A_TUC_4h	2
104	0	107357B_TUC_0h_no4sU	4
104	0	107359B_TUC_1h	3
104	0	107363B_TUC_4h	1
104	1	107329A_TUC_1h	1
104	1	107331A_TUC_2h	3
104	1	107335A_TUC_8h	2
104	1	107359B_TUC_1h	1
104	1	107361B_TUC_2h	1
104	1	107363B_TUC_4h	3
104	1	107365B_TUC_8h	2
38	0	107327A_TUC_0h_no4sU	335369
38	0	107329A_TUC_1h	263591
38	0	107331A_TUC_2h	268532
38	0	107333A_TUC_4h	267996
38	0	107335A_TUC_8h	215333
38	0	107357B_TUC_0h_no4sU	278588
38	0	107359B_TUC_1h	357605
38	0	107361B_TUC_2h	264342
38	0	107363B_TUC_4h	217807
38	0	107365B_TUC_8h	185988
104	2	107331A_TUC_2h	1
104	2	107333A_TUC_4h	1
104	2	107335A_TUC_8h	2
104	2	107361B_TUC_2h	1
104	2	107365B_TUC_8h	2
38	1	107327A_TUC_0h_no4sU	6690
38	1	107329A_TUC_1h	12604
38	1	107331A_TUC_2h	37715
38	1	107333A_TUC_4h	71050
38	1	107335A_TUC_8h	106059
38	1	107357B_TUC_0h_no4sU	5434
38	1	107359B_TUC_1h	18798
38	1	107361B_TUC_2h	33106
38	1	107363B_TUC_4h	64086
38	1	107365B_TUC_8h	97876
104	3	107331A_TUC_2h	2
104	3	107333A_TUC_4h	2
104	3	107335A_TUC_8h	3
104	3	107361B_TUC_2h	1
104	3	107363B_TUC_4h	4
104	3	107365B_TUC_8h	4
38	2	107327A_TUC_0h_no4sU	96
38	2	107329A_TUC_1h	1210
38	2	107331A_TUC_2h	9417
38	2	107333A_TUC_4h	25109
38	2	107335A_TUC_8h	45210
38	2	107357B_TUC_0h_no4sU	73
38	2	107359B_TUC_1h	3333
38	2	107361B_TUC_2h	11735
38	2	107363B_TUC_4h	29752
38	2	107365B_TUC_8h	49682
104	4	107331A_TUC_2h	1
104	4	107335A_TUC_8h	1
104	4	107363B_TUC_4h	5
104	4	107365B_TUC_8h	1
38	3	107327A_TUC_0h_no4sU	4
38	3	107329A_TUC_1h	135
38	3	107331A_TUC_2h	2236
38	3	107333A_TUC_4h	7068
38	3	107335A_TUC_8h	15061
38	3	107357B_TUC_0h_no4sU	5
38	3	107359B_TUC_1h	720
38	3	107361B_TUC_2h	3960
38	3	107363B_TUC_4h	12178
38	3	107365B_TUC_8h	20283
104	5	107335A_TUC_8h	1
104	5	107361B_TUC_2h	1
104	5	107363B_TUC_4h	1
104	5	107365B_TUC_8h	1
38	4	107327A_TUC_0h_no4sU	1
38	4	107329A_TUC_1h	26
38	4	107331A_TUC_2h	417
38	4	107333A_TUC_4h	1807
38	4	107335A_TUC_8h	4085
38	4	107357B_TUC_0h_no4sU	1
38	4	107359B_TUC_1h	158
38	4	107361B_TUC_2h	1248
38	4	107363B_TUC_4h	4278
38	4	107365B_TUC_8h	7149
104	6	107363B_TUC_4h	1
38	5	107327A_TUC_0h_no4sU	1
38	5	107329A_TUC_1h	4
38	5	107331A_TUC_2h	76
38	5	107333A_TUC_4h	400
38	5	107335A_TUC_8h	1064
38	5	107359B_TUC_1h	31
38	5	107361B_TUC_2h	360
38	5	107363B_TUC_4h	1410
38	5	107365B_TUC_8h	2155
104	7	107363B_TUC_4h	1
104	7	107365B_TUC_8h	1
38	6	107329A_TUC_1h	1
38	6	107331A_TUC_2h	14
38	6	107333A_TUC_4h	99
38	6	107335A_TUC_8h	243
38	6	107359B_TUC_1h	12
38	6	107361B_TUC_2h	99
38	6	107363B_TUC_4h	473
38	6	107365B_TUC_8h	746
104	8	107365B_TUC_8h	1
38	7	107331A_TUC_2h	4
38	7	107333A_TUC_4h	24
38	7	107335A_TUC_8h	57
38	7	107359B_TUC_1h	1
38	7	107361B_TUC_2h	30
38	7	107363B_TUC_4h	132
38	7	107365B_TUC_8h	193
38	8	107333A_TUC_4h	5
38	8	107335A_TUC_8h	13
38	8	107359B_TUC_1h	1
38	8	107361B_TUC_2h	13
38	8	107363B_TUC_4h	42
38	8	107365B_TUC_8h	51
38	9	107333A_TUC_4h	4
38	9	107335A_TUC_8h	4
38	9	107361B_TUC_2h	2
38	9	107363B_TUC_4h	10
38	9	107365B_TUC_8h	16
38	10	107363B_TUC_4h	2
38	10	107365B_TUC_8h	2
105	0	107327A_TUC_0h_no4sU	4
105	0	107329A_TUC_1h	3
105	0	107331A_TUC_2h	4
105	0	107333A_TUC_4h	2
105	0	107335A_TUC_8h	1
105	0	107357B_TUC_0h_no4sU	7
105	0	107359B_TUC_1h	7
105	0	107361B_TUC_2h	1
105	0	107363B_TUC_4h	1
105	1	107329A_TUC_1h	4
105	1	107331A_TUC_2h	5
105	1	107333A_TUC_4h	2
105	1	107335A_TUC_8h	1
105	1	107357B_TUC_0h_no4sU	1
105	1	107359B_TUC_1h	6
105	1	107361B_TUC_2h	2
105	1	107363B_TUC_4h	2
39	0	107327A_TUC_0h_no4sU	321882
39	0	107329A_TUC_1h	254147
39	0	107331A_TUC_2h	258865
39	0	107333A_TUC_4h	256581
39	0	107335A_TUC_8h	203698
39	0	107357B_TUC_0h_no4sU	269840
39	0	107359B_TUC_1h	345270
39	0	107361B_TUC_2h	255080
39	0	107363B_TUC_4h	208853
39	0	107365B_TUC_8h	177385
105	2	107331A_TUC_2h	1
105	2	107333A_TUC_4h	2
105	2	107335A_TUC_8h	1
105	2	107361B_TUC_2h	1
105	2	107363B_TUC_4h	3
105	2	107365B_TUC_8h	2
39	1	107327A_TUC_0h_no4sU	6246
39	1	107329A_TUC_1h	11916
39	1	107331A_TUC_2h	36385
39	1	107333A_TUC_4h	68510
39	1	107335A_TUC_8h	102439
39	1	107357B_TUC_0h_no4sU	5119
39	1	107359B_TUC_1h	18623
39	1	107361B_TUC_2h	32325
39	1	107363B_TUC_4h	61964
39	1	107365B_TUC_8h	94776
105	3	107333A_TUC_4h	1
105	3	107335A_TUC_8h	1
105	3	107359B_TUC_1h	1
105	3	107361B_TUC_2h	1
105	3	107365B_TUC_8h	3
39	2	107327A_TUC_0h_no4sU	113
39	2	107329A_TUC_1h	1270
39	2	107331A_TUC_2h	9618
39	2	107333A_TUC_4h	24873
39	2	107335A_TUC_8h	44945
39	2	107357B_TUC_0h_no4sU	91
39	2	107359B_TUC_1h	3344
39	2	107361B_TUC_2h	11579
39	2	107363B_TUC_4h	29834
39	2	107365B_TUC_8h	49726
105	4	107333A_TUC_4h	2
105	4	107365B_TUC_8h	1
39	3	107327A_TUC_0h_no4sU	6
39	3	107329A_TUC_1h	146
39	3	107331A_TUC_2h	2211
39	3	107333A_TUC_4h	7274
39	3	107335A_TUC_8h	15182
39	3	107357B_TUC_0h_no4sU	3
39	3	107359B_TUC_1h	773
39	3	107361B_TUC_2h	4090
39	3	107363B_TUC_4h	12252
39	3	107365B_TUC_8h	20316
105	5	107363B_TUC_4h	1
105	5	107365B_TUC_8h	1
39	4	107327A_TUC_0h_no4sU	1
39	4	107329A_TUC_1h	28
39	4	107331A_TUC_2h	448
39	4	107333A_TUC_4h	1891
39	4	107335A_TUC_8h	4394
39	4	107357B_TUC_0h_no4sU	1
39	4	107359B_TUC_1h	188
39	4	107361B_TUC_2h	1272
39	4	107363B_TUC_4h	4549
39	4	107365B_TUC_8h	7317
105	6	107335A_TUC_8h	1
105	6	107363B_TUC_4h	1
105	6	107365B_TUC_8h	2
39	5	107331A_TUC_2h	65
39	5	107333A_TUC_4h	446
39	5	107335A_TUC_8h	1162
39	5	107359B_TUC_1h	36
39	5	107361B_TUC_2h	385
39	5	107363B_TUC_4h	1543
39	5	107365B_TUC_8h	2406
105	7	107335A_TUC_8h	1
105	7	107365B_TUC_8h	2
39	6	107331A_TUC_2h	8
39	6	107333A_TUC_4h	84
39	6	107335A_TUC_8h	271
39	6	107359B_TUC_1h	16
39	6	107361B_TUC_2h	126
39	6	107363B_TUC_4h	501
39	6	107365B_TUC_8h	723
