Condition	conv_old	conv_new	p_new_lower	p_new	p_new_upper	Status
107327A_TUC_0h_no4sU	0.00013934	0.025561	0.024883	0.025297	0.025713	Too few
107329A_TUC_1h	0.00014328	0.010315	0.17130	0.17303	0.17475	Ok
107331A_TUC_2h	0.00014809	0.019491	0.33236	0.33402	0.33567	Ok
107333A_TUC_4h	0.00014854	0.024837	0.50441	0.50602	0.50759	Ok
107335A_TUC_8h	0.00014851	0.028852	0.69682	0.69847	0.70008	Ok
107357B_TUC_0h_no4sU	0.00014361	0.028046	0.022770	0.023206	0.023644	Too few
107359B_TUC_1h	0.00014094	0.021153	0.10964	0.11057	0.11149	Ok
107361B_TUC_2h	0.00014176	0.032384	0.23030	0.23139	0.23246	Ok
107363B_TUC_4h	0.00014830	0.037676	0.45116	0.45256	0.45393	Ok
107365B_TUC_8h	0.00015178	0.037216	0.64853	0.65004	0.65150	Ok
