n	d	Condition	count
2	1	107327A_TUC_0h_no4sU	404
2	1	107329A_TUC_1h	733
2	1	107331A_TUC_2h	2963
2	1	107333A_TUC_4h	7195
2	1	107335A_TUC_8h	12327
2	1	107357B_TUC_0h_no4sU	271
2	1	107359B_TUC_1h	1253
2	1	107361B_TUC_2h	3269
2	1	107363B_TUC_4h	8350
2	1	107365B_TUC_8h	12997
35	2	107327A_TUC_0h_no4sU	4
35	2	107329A_TUC_1h	155
35	2	107331A_TUC_2h	1069
35	2	107333A_TUC_4h	2409
35	2	107335A_TUC_8h	4664
35	2	107357B_TUC_0h_no4sU	7
35	2	107359B_TUC_1h	511
35	2	107361B_TUC_2h	1865
35	2	107363B_TUC_4h	3233
35	2	107365B_TUC_8h	5821
35	3	107329A_TUC_1h	19
35	3	107331A_TUC_2h	196
35	3	107333A_TUC_4h	600
35	3	107335A_TUC_8h	1424
35	3	107359B_TUC_1h	111
35	3	107361B_TUC_2h	609
35	3	107363B_TUC_4h	1288
35	3	107365B_TUC_8h	2365
2	2	107327A_TUC_0h_no4sU	1
2	2	107329A_TUC_1h	2
2	2	107331A_TUC_2h	14
2	2	107333A_TUC_4h	45
2	2	107335A_TUC_8h	96
2	2	107359B_TUC_1h	2
2	2	107361B_TUC_2h	26
2	2	107363B_TUC_4h	90
2	2	107365B_TUC_8h	125
35	4	107329A_TUC_1h	1
35	4	107331A_TUC_2h	38
35	4	107333A_TUC_4h	122
35	4	107335A_TUC_8h	348
35	4	107359B_TUC_1h	20
35	4	107361B_TUC_2h	171
35	4	107363B_TUC_4h	402
35	4	107365B_TUC_8h	790
35	5	107333A_TUC_4h	14
35	5	107335A_TUC_8h	17
35	5	107359B_TUC_1h	2
35	5	107361B_TUC_2h	11
35	5	107363B_TUC_4h	35
35	5	107365B_TUC_8h	49
52	0	107327A_TUC_0h_no4sU	171
52	0	107329A_TUC_1h	150
52	0	107331A_TUC_2h	127
52	0	107333A_TUC_4h	65
52	0	107335A_TUC_8h	60
52	0	107357B_TUC_0h_no4sU	239
52	0	107359B_TUC_1h	182
52	0	107361B_TUC_2h	158
52	0	107363B_TUC_4h	94
52	0	107365B_TUC_8h	78
19	0	107327A_TUC_0h_no4sU	407756
19	0	107329A_TUC_1h	329936
19	0	107331A_TUC_2h	311840
19	0	107333A_TUC_4h	346779
19	0	107335A_TUC_8h	324771
19	0	107357B_TUC_0h_no4sU	338076
19	0	107359B_TUC_1h	350888
19	0	107361B_TUC_2h	320906
19	0	107363B_TUC_4h	251555
19	0	107365B_TUC_8h	267733
52	1	107327A_TUC_0h_no4sU	8
52	1	107329A_TUC_1h	17
52	1	107331A_TUC_2h	38
52	1	107333A_TUC_4h	47
52	1	107335A_TUC_8h	62
52	1	107357B_TUC_0h_no4sU	6
52	1	107359B_TUC_1h	17
52	1	107361B_TUC_2h	37
52	1	107363B_TUC_4h	51
52	1	107365B_TUC_8h	84
19	1	107327A_TUC_0h_no4sU	3745
19	1	107329A_TUC_1h	9146
19	1	107331A_TUC_2h	28657
19	1	107333A_TUC_4h	62108
19	1	107335A_TUC_8h	99743
19	1	107357B_TUC_0h_no4sU	3156
19	1	107359B_TUC_1h	11677
19	1	107361B_TUC_2h	29766
19	1	107363B_TUC_4h	55418
19	1	107365B_TUC_8h	92751
52	2	107329A_TUC_1h	6
52	2	107331A_TUC_2h	9
52	2	107333A_TUC_4h	11
52	2	107335A_TUC_8h	46
52	2	107359B_TUC_1h	3
52	2	107361B_TUC_2h	15
52	2	107363B_TUC_4h	33
52	2	107365B_TUC_8h	68
19	2	107327A_TUC_0h_no4sU	20
19	2	107329A_TUC_1h	429
19	2	107331A_TUC_2h	3616
19	2	107333A_TUC_4h	10547
19	2	107335A_TUC_8h	20885
19	2	107357B_TUC_0h_no4sU	20
19	2	107359B_TUC_1h	1219
19	2	107361B_TUC_2h	5949
19	2	107363B_TUC_4h	14374
19	2	107365B_TUC_8h	25257
52	3	107331A_TUC_2h	7
52	3	107333A_TUC_4h	13
52	3	107335A_TUC_8h	18
52	3	107359B_TUC_1h	1
52	3	107361B_TUC_2h	14
52	3	107363B_TUC_4h	19
52	3	107365B_TUC_8h	23
19	3	107329A_TUC_1h	18
19	3	107331A_TUC_2h	368
19	3	107333A_TUC_4h	1471
19	3	107335A_TUC_8h	3177
19	3	107359B_TUC_1h	136
19	3	107361B_TUC_2h	1039
19	3	107363B_TUC_4h	3025
19	3	107365B_TUC_8h	5117
52	4	107331A_TUC_2h	2
52	4	107333A_TUC_4h	1
52	4	107335A_TUC_8h	3
52	4	107361B_TUC_2h	6
52	4	107363B_TUC_4h	9
52	4	107365B_TUC_8h	23
19	4	107329A_TUC_1h	1
19	4	107331A_TUC_2h	35
19	4	107333A_TUC_4h	141
19	4	107335A_TUC_8h	351
19	4	107359B_TUC_1h	12
19	4	107361B_TUC_2h	147
19	4	107363B_TUC_4h	461
19	4	107365B_TUC_8h	691
52	5	107335A_TUC_8h	3
19	5	107333A_TUC_4h	4
19	5	107335A_TUC_8h	12
19	5	107361B_TUC_2h	3
19	5	107363B_TUC_4h	12
19	5	107365B_TUC_8h	13
36	0	107327A_TUC_0h_no4sU	27524
36	0	107329A_TUC_1h	23416
36	0	107331A_TUC_2h	19404
36	0	107333A_TUC_4h	16839
36	0	107335A_TUC_8h	14519
36	0	107357B_TUC_0h_no4sU	27552
36	0	107359B_TUC_1h	23617
36	0	107361B_TUC_2h	20823
36	0	107363B_TUC_4h	12668
36	0	107365B_TUC_8h	12871
69	1	107333A_TUC_4h	1
69	1	107335A_TUC_8h	1
3	0	107327A_TUC_0h_no4sU	494730
3	0	107329A_TUC_1h	386661
3	0	107331A_TUC_2h	430082
3	0	107333A_TUC_4h	506343
3	0	107335A_TUC_8h	517592
3	0	107357B_TUC_0h_no4sU	381157
3	0	107359B_TUC_1h	520896
3	0	107361B_TUC_2h	426548
3	0	107363B_TUC_4h	444056
3	0	107365B_TUC_8h	468618
36	1	107327A_TUC_0h_no4sU	376
36	1	107329A_TUC_1h	1359
36	1	107331A_TUC_2h	3777
36	1	107333A_TUC_4h	5892
36	1	107335A_TUC_8h	9172
36	1	107357B_TUC_0h_no4sU	308
36	1	107359B_TUC_1h	1732
36	1	107361B_TUC_2h	3856
36	1	107363B_TUC_4h	5252
36	1	107365B_TUC_8h	9038
3	1	107327A_TUC_0h_no4sU	613
3	1	107329A_TUC_1h	1323
3	1	107331A_TUC_2h	5358
3	1	107333A_TUC_4h	12879
3	1	107335A_TUC_8h	21571
3	1	107357B_TUC_0h_no4sU	425
3	1	107359B_TUC_1h	2206
3	1	107361B_TUC_2h	5996
3	1	107363B_TUC_4h	14793
3	1	107365B_TUC_8h	22910
36	2	107327A_TUC_0h_no4sU	5
36	2	107329A_TUC_1h	167
36	2	107331A_TUC_2h	881
36	2	107333A_TUC_4h	2014
36	2	107335A_TUC_8h	3839
36	2	107357B_TUC_0h_no4sU	3
36	2	107359B_TUC_1h	387
36	2	107361B_TUC_2h	1484
36	2	107363B_TUC_4h	2703
36	2	107365B_TUC_8h	4759
36	3	107329A_TUC_1h	18
36	3	107331A_TUC_2h	181
36	3	107333A_TUC_4h	563
36	3	107335A_TUC_8h	1200
36	3	107359B_TUC_1h	106
36	3	107361B_TUC_2h	504
36	3	107363B_TUC_4h	1134
36	3	107365B_TUC_8h	2028
3	2	107327A_TUC_0h_no4sU	3
3	2	107329A_TUC_1h	7
3	2	107331A_TUC_2h	45
3	2	107333A_TUC_4h	179
3	2	107335A_TUC_8h	374
3	2	107359B_TUC_1h	16
3	2	107361B_TUC_2h	99
3	2	107363B_TUC_4h	321
3	2	107365B_TUC_8h	473
36	4	107331A_TUC_2h	30
36	4	107333A_TUC_4h	108
36	4	107335A_TUC_8h	291
36	4	107359B_TUC_1h	25
36	4	107361B_TUC_2h	153
36	4	107363B_TUC_4h	376
36	4	107365B_TUC_8h	712
3	3	107333A_TUC_4h	4
3	3	107335A_TUC_8h	4
3	3	107363B_TUC_4h	3
3	3	107365B_TUC_8h	5
36	5	107331A_TUC_2h	1
36	5	107333A_TUC_4h	5
36	5	107335A_TUC_8h	16
36	5	107359B_TUC_1h	1
36	5	107361B_TUC_2h	12
36	5	107363B_TUC_4h	34
36	5	107365B_TUC_8h	43
53	0	107327A_TUC_0h_no4sU	161
53	0	107329A_TUC_1h	114
53	0	107331A_TUC_2h	105
53	0	107333A_TUC_4h	59
53	0	107335A_TUC_8h	44
53	0	107357B_TUC_0h_no4sU	178
53	0	107359B_TUC_1h	161
53	0	107361B_TUC_2h	114
53	0	107363B_TUC_4h	83
53	0	107365B_TUC_8h	63
20	0	107327A_TUC_0h_no4sU	371960
20	0	107329A_TUC_1h	301816
20	0	107331A_TUC_2h	282464
20	0	107333A_TUC_4h	313322
20	0	107335A_TUC_8h	290872
20	0	107357B_TUC_0h_no4sU	310776
20	0	107359B_TUC_1h	318714
20	0	107361B_TUC_2h	292837
20	0	107363B_TUC_4h	226190
20	0	107365B_TUC_8h	241602
53	1	107327A_TUC_0h_no4sU	3
53	1	107329A_TUC_1h	17
53	1	107331A_TUC_2h	42
53	1	107333A_TUC_4h	30
53	1	107335A_TUC_8h	48
53	1	107357B_TUC_0h_no4sU	4
53	1	107359B_TUC_1h	18
53	1	107361B_TUC_2h	26
53	1	107363B_TUC_4h	42
53	1	107365B_TUC_8h	53
20	1	107327A_TUC_0h_no4sU	3492
20	1	107329A_TUC_1h	8847
20	1	107331A_TUC_2h	27444
20	1	107333A_TUC_4h	58327
20	1	107335A_TUC_8h	93587
20	1	107357B_TUC_0h_no4sU	2936
20	1	107359B_TUC_1h	11220
20	1	107361B_TUC_2h	28414
20	1	107363B_TUC_4h	51728
20	1	107365B_TUC_8h	86808
53	2	107329A_TUC_1h	2
53	2	107331A_TUC_2h	12
53	2	107333A_TUC_4h	19
53	2	107335A_TUC_8h	21
53	2	107359B_TUC_1h	5
53	2	107361B_TUC_2h	12
53	2	107363B_TUC_4h	30
53	2	107365B_TUC_8h	39
20	2	107327A_TUC_0h_no4sU	22
20	2	107329A_TUC_1h	457
20	2	107331A_TUC_2h	3632
20	2	107333A_TUC_4h	10698
20	2	107335A_TUC_8h	20942
20	2	107357B_TUC_0h_no4sU	15
20	2	107359B_TUC_1h	1256
20	2	107361B_TUC_2h	6156
20	2	107363B_TUC_4h	14183
20	2	107365B_TUC_8h	24842
53	3	107329A_TUC_1h	1
53	3	107331A_TUC_2h	5
53	3	107333A_TUC_4h	10
53	3	107335A_TUC_8h	14
53	3	107359B_TUC_1h	2
53	3	107361B_TUC_2h	7
53	3	107363B_TUC_4h	18
