Condition	conv_old	conv_new	p_new_lower	p_new	p_new_upper	Status
107327A_TUC_0h_no4sU	0.00044839	1.0000	0.00086820	1.0844e-05	0.56926	Too few
107329A_TUC_1h	0.00044410	0.012838	0.061537	0.063134	0.064744	Too few
107331A_TUC_2h	0.00047601	0.017875	0.23093	0.23300	0.23507	Ok
107333A_TUC_4h	0.00047283	0.022552	0.38896	0.39107	0.39315	Ok
107335A_TUC_8h	0.00047116	0.026173	0.55936	0.56162	0.56384	Ok
107357B_TUC_0h_no4sU	0.00045023	1.0000	0.00086820	1.0967e-05	0.56926	Too few
107359B_TUC_1h	0.00042191	0.020341	0.056764	0.057750	0.058738	Ok
107361B_TUC_2h	0.00044276	0.029733	0.15890	0.16023	0.16155	Ok
107363B_TUC_4h	0.00043707	0.033705	0.35093	0.35267	0.35439	Ok
107365B_TUC_8h	0.00044190	0.033644	0.51058	0.51257	0.51453	Ok
