Category	Genomic	Read	Position	Overlap	Opposite	Coverage	Mismatches
Exonic	A	C	0	1	1	783785	0
Exonic	A	C	1	1	1	1142869	0
Exonic	A	C	2	1	1	1469623	4402
Exonic	A	C	3	1	1	2506657	3154
Exonic	A	C	4	1	1	3021758	2540
Exonic	A	C	5	1	1	3290785	824
Exonic	A	C	6	1	1	2614446	509
Exonic	A	C	7	1	1	2793042	706
Exonic	A	C	8	1	1	2930380	604
Exonic	A	C	9	1	1	4368449	555
Exonic	A	C	10	1	1	3573532	560
Exonic	A	C	11	1	1	3412271	654
Exonic	A	C	12	1	1	3832012	627
Exonic	A	C	13	1	1	4238678	643
Exonic	A	C	14	1	1	4409242	961
Exonic	A	C	15	1	1	4605786	911
Exonic	A	C	16	1	1	4954500	667
Exonic	A	C	17	1	1	5162255	910
Exonic	A	C	18	1	1	5362569	895
Exonic	A	C	19	1	1	5703841	789
Exonic	A	C	20	1	1	5886428	917
Exonic	A	C	21	1	1	6113670	1123
Exonic	A	C	22	1	1	6451886	1140
Exonic	A	C	23	1	1	6619349	1445
Exonic	A	C	24	1	1	6846141	1308
Exonic	A	C	25	1	1	7238591	1629
Exonic	A	C	26	1	1	7390108	1482
Exonic	A	C	27	1	1	7642662	1355
Exonic	A	C	28	1	1	8006831	2211
Exonic	A	C	29	1	1	8203900	1971
Exonic	A	C	30	1	1	8424757	1722
Exonic	A	C	31	1	1	8824675	1978
Exonic	A	C	32	1	1	8989478	2186
Exonic	A	C	33	1	1	9192343	2361
Exonic	A	C	34	1	1	9587282	2348
Exonic	A	C	35	1	1	9748418	2417
Exonic	A	C	36	1	1	9971336	2017
Exonic	A	C	37	1	1	10389244	2714
Exonic	A	C	38	1	1	10539431	2358
Exonic	A	C	39	1	1	10742137	2957
Exonic	A	C	40	1	1	11201351	2522
Exonic	A	C	41	1	1	11316161	2654
Exonic	A	C	42	1	1	11505357	3267
Exonic	A	C	43	1	1	11948024	2650
Exonic	A	C	44	1	1	12049679	2758
Exonic	A	C	45	1	1	12287818	2949
Exonic	A	C	46	1	1	12743326	3263
Exonic	A	C	47	1	1	12790225	2844
Exonic	A	C	48	1	1	13000684	3613
Exonic	A	C	49	1	1	13461787	3629
Exonic	A	C	50	1	1	13504847	4584
Exonic	A	C	51	1	1	13765243	3887
Exonic	A	C	52	1	1	14201221	4687
Exonic	A	C	53	1	1	14271944	3715
Exonic	A	C	54	1	1	14420948	4421
Exonic	A	C	55	1	1	14936810	4195
Exonic	A	C	56	1	1	14917855	4584
